"index"	"country"	"country_code"	"age"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
1282	"Ecuador"	218	"0-4"	-0.334	-1.667	-0.801	-0.801	-0.798	-0.798	-0.798	-0.798	-0.798	-0.798	-0.798	-0.798	-0.399	-0.2	-0.1	-0.05	-0.025	0	0	0	0	0
1283	"Ecuador"	218	"5-9"	-0.396	-1.979	-0.951	-0.95	-0.953	-0.953	-0.953	-0.953	-0.953	-0.953	-0.953	-0.953	-0.477	-0.239	-0.12	-0.06	-0.03	0	0	0	0	0
1284	"Ecuador"	218	"10-14"	-0.494	-2.471	-1.188	-1.187	-1.186	-1.186	-1.186	-1.186	-1.186	-1.186	-1.186	-1.186	-0.593	-0.297	-0.149	-0.075	-0.038	0	0	0	0	0
1285	"Ecuador"	218	"15-19"	-3.065	-15.327	-7.356	-7.356	-7.355	-7.355	-7.355	-7.355	-7.355	-7.355	-7.355	-7.355	-3.678	-1.839	-0.92	-0.46	-0.23	0	0	0	0	0
1286	"Ecuador"	218	"20-24"	-6.141	-30.703	-14.733	-14.737	-14.746	-14.746	-14.746	-14.746	-14.746	-14.746	-14.746	-14.746	-7.373	-3.687	-1.844	-0.922	-0.461	0	0	0	0	0
1287	"Ecuador"	218	"25-29"	-5.029	-25.147	-12.069	-12.07	-12.071	-12.071	-12.071	-12.071	-12.071	-12.071	-12.071	-12.071	-6.036	-3.018	-1.509	-0.755	-0.378	0	0	0	0	0
1288	"Ecuador"	218	"30-34"	-3.703	-18.516	-8.889	-8.888	-8.887	-8.887	-8.887	-8.887	-8.887	-8.887	-8.887	-8.887	-4.444	-2.222	-1.111	-0.556	-0.278	0	0	0	0	0
1289	"Ecuador"	218	"35-39"	-2.711	-13.553	-6.504	-6.505	-6.508	-6.508	-6.508	-6.508	-6.508	-6.508	-6.508	-6.508	-3.254	-1.627	-0.814	-0.407	-0.204	0	0	0	0	0
1290	"Ecuador"	218	"40-44"	-1.588	-7.942	-3.813	-3.812	-3.812	-3.812	-3.812	-3.812	-3.812	-3.812	-3.812	-3.812	-1.906	-0.953	-0.477	-0.239	-0.12	0	0	0	0	0
1291	"Ecuador"	218	"45-49"	-0.851	-4.255	-2.043	-2.042	-2.04	-2.04	-2.04	-2.04	-2.04	-2.04	-2.04	-2.04	-1.02	-0.51	-0.255	-0.128	-0.064	0	0	0	0	0
1292	"Ecuador"	218	"50-54"	-0.41	-2.049	-0.984	-0.984	-0.981	-0.981	-0.981	-0.981	-0.981	-0.981	-0.981	-0.981	-0.491	-0.246	-0.123	-0.062	-0.031	0	0	0	0	0
1293	"Ecuador"	218	"55-59"	-0.174	-0.869	-0.417	-0.417	-0.416	-0.416	-0.416	-0.416	-0.416	-0.416	-0.416	-0.416	-0.208	-0.104	-0.052	-0.026	-0.013	0	0	0	0	0
1294	"Ecuador"	218	"60-64"	-0.104	-0.523	-0.252	-0.251	-0.247	-0.247	-0.247	-0.247	-0.247	-0.247	-0.247	-0.247	-0.124	-0.062	-0.031	-0.016	-0.008	0	0	0	0	0
