"index"	"country"	"country_code"	"age"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
1343	"Ecuador"	218	"  0"	0.139687443	0.128506572	0.117415777	0.104378172	0.091674085	0.078444298	0.064081178	0.05101774	0.039884284	0.029597524	0.021191236	0.018295064	0.016152003	0.014436642	0.012920424	0.011663205	0.010520718	0.009512682	0.008618111	0.007816209	0.007096471	0.006448473	0.00585176	0.005316271	0.004831743	0.004387965	0.00398484	0.003612213	0.003280084	0.002968269
1344	"Ecuador"	218	"  1"	0.020905891	0.01884469	0.016785537	0.014357794	0.011766004	0.00938749	0.006886984	0.004693906	0.003132927	0.001926678	0.001105539	0.00101074	0.000891172	0.000795418	0.000709066	0.00064245	0.000583182	0.000526411	0.000476142	0.000432579	0.000390135	0.000353834	0.000323396	0.00029352	0.000264197	0.000240447	0.000216981	0.000199067	0.000181678	0.000164305
1345	"Ecuador"	218	"  5"	0.007537393	0.006211015	0.004907073	0.004274709	0.003631056	0.00295324	0.002197607	0.001501166	0.001026676	0.000710475	0.000499647	0.000463122	0.000415986	0.000376705	0.000343964	0.000311821	0.000284277	0.000261112	0.000239998	0.000219622	0.000202712	0.000187067	0.000169629	0.000157092	0.000146302	0.000133914	0.000123298	0.00011259	0.000103449	9.29962e-05
1346	"Ecuador"	218	" 10"	0.003161766	0.002332385	0.001521601	0.001366509	0.001229831	0.001080993	0.000905116	0.000708914	0.000594443	0.000538729	0.000485791	0.000455592	0.00041744	0.000388062	0.000358491	0.000333998	0.000312165	0.000290869	0.000271761	0.000255459	0.000238659	0.000222458	0.000209059	0.000196127	0.000182446	0.000171755	0.000161303	0.000150095	0.000139358	0.000131294
1347	"Ecuador"	218	" 15"	0.003430209	0.002732987	0.002046883	0.001802616	0.001561327	0.001366468	0.001174554	0.00099975	0.000875306	0.000783308	0.000699362	0.000652466	0.00060534	0.000566125	0.000530147	0.000498044	0.000468976	0.000441938	0.00041744	0.000394229	0.000372033	0.000350433	0.0003333	0.000313959	0.000296439	0.000279483	0.000265201	0.000249046	0.000234644	0.000223008
1348	"Ecuador"	218	" 20"	0.004416733	0.003642058	0.002874692	0.002519364	0.00216997	0.001884055	0.00159669	0.001366446	0.001170954	0.000992423	0.00085375	0.000795579	0.000741532	0.000695199	0.000653274	0.000614839	0.000579438	0.000547234	0.000517699	0.000489321	0.000463322	0.000437423	0.000416518	0.000392985	0.000372551	0.000351501	0.000332957	0.000315243	0.000297745	0.000281827
1349	"Ecuador"	218	" 25"	0.005408894	0.004504914	0.003609731	0.003161982	0.002719556	0.002317313	0.00189759	0.001634269	0.001388793	0.001146619	0.000964933	0.000902559	0.00083992	0.000787401	0.000737365	0.000694762	0.000655006	0.000618277	0.000584125	0.000552411	0.000521526	0.000493241	0.000467408	0.000442732	0.000418185	0.000396058	0.000373408	0.000354252	0.00033404	0.000315305
1350	"Ecuador"	218	" 30"	0.006451926	0.005426733	0.004414139	0.003883848	0.003364105	0.002814434	0.002219439	0.001947633	0.00167038	0.001378288	0.001159035	0.001087626	0.001011478	0.000947105	0.000887812	0.000836599	0.000789435	0.000745129	0.000704552	0.000666086	0.000628463	0.000594127	0.000562998	0.000533596	0.000504223	0.000477295	0.00045121	0.00042689	0.000401519	0.000380542
1351	"Ecuador"	218	" 35"	0.007558081	0.00638903	0.005234851	0.004679477	0.004138957	0.003488548	0.002754147	0.002444243	0.002118864	0.001766983	0.001502169	0.001413638	0.001314814	0.001231857	0.001156	0.001088729	0.001026517	0.000968195	0.000916258	0.000865797	0.000817382	0.000773044	0.000732587	0.000692865	0.000655721	0.000619871	0.000585692	0.000554814	0.000522569	0.000494646
1352	"Ecuador"	218	" 40"	0.008926564	0.007525461	0.006144084	0.005631619	0.005137437	0.004429106	0.003583976	0.003193872	0.002796433	0.002371732	0.002046818	0.00193103	0.001795824	0.00168263	0.001578426	0.001487078	0.001401848	0.001322536	0.001250699	0.001182304	0.001116791	0.001056221	0.001000023	0.00094645	0.000894985	0.000846431	0.000798613	0.000757201	0.000713747	0.000674925
