"index"	"country"	"country_code"	"age"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"
1343	"Ecuador"	218	"  0"	0.139687443	0.128506572	0.117415777	0.104355955	0.091662993	0.078444275	0.064081158	0.051017729	0.039884279	0.02959752	0.021191234	0.018295063	0.015206427	0.012133076	0.010092854	0.009075389	0.008059706	0.007045819	0.006033741	0.005023485
1344	"Ecuador"	218	"  1"	0.020991462	0.018913819	0.016839794	0.014411654	0.011793087	0.009399344	0.006886277	0.004690197	0.003128194	0.001926654	0.001105489	0.001010699	0.000928292	0.000863191	0.000805401	0.000742541	0.000683621	0.000636202	0.000596204	0.000559571
1345	"Ecuador"	218	"  5"	0.007325291	0.00599453	0.004687275	0.004077955	0.003493039	0.002853069	0.002129272	0.001454404	0.000988829	0.000678805	0.000479331	0.000444273	0.000413023	0.000386525	0.000357232	0.000327124	0.00030078	0.000276591	0.000253552	0.000234381
1346	"Ecuador"	218	" 10"	0.003235873	0.002414537	0.00161329	0.001443221	0.001274058	0.001107414	0.000919583	0.000712496	0.000597158	0.000545795	0.000492126	0.000457577	0.0004271	0.000402509	0.000373678	0.000341623	0.000313033	0.000287045	0.000264437	0.000244436
1347	"Ecuador"	218	" 15"	0.003562472	0.002869898	0.002186926	0.001917567	0.001651909	0.001440358	0.00123149	0.001050987	0.000916002	0.000813339	0.000719914	0.000669165	0.000624698	0.000586785	0.00054481	0.000497654	0.000456292	0.000418441	0.000386102	0.000356352
1348	"Ecuador"	218	" 20"	0.004425035	0.003639442	0.002863202	0.002514388	0.002172518	0.001888276	0.00160159	0.001364528	0.001166484	0.000991452	0.000853073	0.000794367	0.000742509	0.000699197	0.000650492	0.000595742	0.000547743	0.000505277	0.00046689	0.000433126
1349	"Ecuador"	218	" 25"	0.005403374	0.004499958	0.003605601	0.003155001	0.002711761	0.002314045	0.001904574	0.001637572	0.001386897	0.001142598	0.000959246	0.000894584	0.000838804	0.000792278	0.000740364	0.000681395	0.000628961	0.000582802	0.000540727	0.000505145
1350	"Ecuador"	218	" 30"	0.00646886	0.005439009	0.004421186	0.003890826	0.003369168	0.002813016	0.002209568	0.001942566	0.001665829	0.001378499	0.001160739	0.001086322	0.001021592	0.000966646	0.000906201	0.000837729	0.00077682	0.000722796	0.00067401	0.000632367
1351	"Ecuador"	218	" 35"	0.007549486	0.006387671	0.005238751	0.004681014	0.004137343	0.00348202	0.002743577	0.00243629	0.002108	0.001759148	0.001494194	0.001403676	0.00132303	0.001255056	0.00118029	0.001095201	0.001019631	0.000953932	0.000893013	0.000841109
1352	"Ecuador"	218	" 40"	0.008919064	0.007522368	0.006144485	0.005630419	0.005134767	0.004434798	0.003603259	0.003209774	0.002802935	0.002378518	0.002050438	0.001929016	0.001823708	0.001733177	0.001633459	0.001521102	0.001421447	0.00133411	0.001253397	0.001184546
1353	"Ecuador"	218	" 45"	0.010808583	0.009083189	0.007387066	0.006946793	0.006531156	0.005741401	0.004739953	0.004246878	0.003746649	0.003230856	0.002820676	0.002660649	0.002521075	0.002401462	0.002269082	0.002120642	0.001987823	0.001872058	0.001765634	0.001674724
1354	"Ecuador"	218	" 50"	0.01345639	0.011412579	0.009407165	0.008978825	0.008588382	0.007709149	0.00655869	0.00590498	0.005211893	0.004474401	0.003897299	0.003686739	0.003501639	0.00334448	0.003170054	0.002973271	0.002797514	0.002644418	0.00250276	0.002382665
1355	"Ecuador"	218	" 55"	0.017717988	0.015424162	0.013168808	0.012633771	0.012154816	0.01105031	0.009596309	0.008685148	0.007608944	0.006393123	0.005487013	0.005202612	0.004954707	0.00474469	0.004508646	0.004245264	0.004009263	0.003802583	0.003612963	0.003450762
1356	"Ecuador"	218	" 60"	0.026411075	0.023343482	0.020340611	0.019540839	0.018830214	0.017194484	0.015043291	0.013487427	0.011770332	0.009880698	0.008476242	0.008052468	0.007682718	0.007368851	0.00701984	0.006637054	0.006292388	0.005989772	0.005714072	0.005476573
1357	"Ecuador"	218	" 65"	0.043302548	0.038200674	0.03332045	0.032016116	0.030861505	0.028216616	0.024740815	0.021728449	0.019088237	0.016504836	0.014474154	0.013753947	0.013121146	0.012581032	0.012002893	0.011387048	0.010831949	0.010343157	0.009897205	0.00951175
1358	"Ecuador"	218	" 70"	0.070115288	0.061831481	0.054059112	0.051964061	0.050116933	0.045909351	0.040378615	0.034791825	0.030791566	0.027436317	0.024607928	0.023393656	0.022318935	0.021396381	0.020446059	0.019465536	0.018580857	0.017799456	0.017085566	0.016466293
1359	"Ecuador"	218	" 75"	0.111366425	0.09839329	0.086394935	0.083107699	0.080222432	0.073696054	0.06510384	0.055179831	0.049254584	0.045248218	0.041530736	0.039510472	0.037708327	0.036151827	0.034609015	0.033071824	0.031683507	0.030453126	0.029327528	0.028347233
1360	"Ecuador"	218	" 80"	0.171963356	0.152674861	0.134984462	0.130000165	0.125648412	0.115899549	0.103024808	0.086248705	0.077770363	0.073686037	0.069254047	0.065964553	0.063004646	0.060430606	0.057975085	0.055620554	0.053491681	0.051597745	0.049862691	0.048344802
1361	"Ecuador"	218	" 85"	0.255454685	0.228712012	0.204232519	0.197017392	0.190759217	0.176943056	0.158618579	0.131945471	0.120427582	0.117675694	0.113306375	0.108127638	0.103421533	0.099296324	0.095506588	0.092022896	0.088868739	0.086049987	0.083463877	0.081189539
1362	"Ecuador"	218	" 90"	0.361406465	0.327419241	0.296184887	0.28631715	0.277829726	0.259526652	0.235153743	0.195871632	0.181371701	0.182618231	0.180156279	0.172394479	0.165260687	0.15894904	0.153358806	0.148454313	0.14400588	0.140008896	0.136336129	0.133085843
1363	"Ecuador"	218	" 95"	0.483204619	0.444191767	0.408023683	0.395350741	0.384562888	0.36215383	0.332276887	0.279539708	0.263190559	0.272529456	0.275291848	0.26439238	0.254246612	0.245174133	0.237415545	0.230954146	0.225080011	0.219767272	0.21487843	0.210519023
1364	"Ecuador"	218	"100+"	0.787367622	0.736317283	0.694757057	0.67583383	0.658925491	0.631670073	0.599790604	0.55246218	0.543677794	0.564328256	0.579773055	0.567870372	0.557054616	0.547642639	0.540144644	0.534455417	0.529280569	0.524628031	0.520432086	0.516669405
1541	"Fiji"	242	"  0"	0.080589511	0.072844664	0.065454318	0.058419497	0.051636505	0.045208532	0.039133158	0.033407132	0.033806862	0.023504812	0.020561265	0.018866039	0.017574065	0.016434924	0.015390291	0.014084913	0.012640132	0.011334514	0.010209976	0.00923298
1542	"Fiji"	242	"  1"	0.009486719	0.008354734	0.007297502	0.006313518	0.005388264	0.004535505	0.003754086	0.003043341	0.003092065	0.001944776	0.001525759	0.001367198	0.001263271	0.001175172	0.001056018	0.000892368	0.000751277	0.000633343	0.000567281	0.000508543
1543	"Fiji"	242	"  5"	0.002779626	0.00234798	0.00195742	0.0016055	0.001291224	0.001014608	0.000773389	0.000571409	0.00057822	0.000602325	0.00049747	0.000431741	0.000376382	0.000333002	0.000295751	0.000250166	0.000214647	0.000184153	0.000163145	0.000145465
1544	"Fiji"	242	" 10"	0.001620753	0.001379944	0.001161898	0.000965393	0.000790042	0.000635804	0.00050167	0.000389669	0.000393328	0.000413132	0.000355388	0.000307263	0.000263968	0.000230528	0.000202256	0.000168659	0.00014648	0.000127985	0.00011442	0.000103034
1545	"Fiji"	242	" 15"	0.002976686	0.002510685	0.002090038	0.001712242	0.001376362	0.001082517	0.00082797	0.000616345	0.000623424	0.000650342	0.000541032	0.000466851	0.000402886	0.000353459	0.000311417	0.000261115	0.000232185	0.00020762	0.000188242	0.000171564
1546	"Fiji"	242	" 20"	0.00449253	0.003790161	0.003155855	0.002585842	0.002078731	0.001634946	0.001250154	0.000930063	0.000940778	0.000981286	0.000815918	0.000704209	0.000608014	0.000533584	0.000470223	0.000394735	0.000355666	0.000322498	0.000295821	0.000272775
1547	"Fiji"	242	" 25"	0.005486291	0.004663197	0.00391461	0.003236814	0.002629047	0.00209163	0.00162098	0.001225793	0.001238977	0.001295572	0.001090554	0.000946683	0.000822134	0.000724731	0.000641481	0.000542468	0.00049048	0.000446474	0.00041053	0.00037944
1548	"Fiji"	242	" 30"	0.006388699	0.005486226	0.004656786	0.003897289	0.003208097	0.002589289	0.002038869	0.001569974	0.001585572	0.001662454	0.001417509	0.001241271	0.001088659	0.000967318	0.000862873	0.000738201	0.000665334	0.000603688	0.000553578	0.000510288
1549	"Fiji"	242	" 35"	0.007544594	0.006583266	0.0056868	0.004852916	0.004083542	0.003377858	0.002735857	0.002177481	0.00219581	0.002313731	0.002019644	0.001792601	0.001594318	0.001432759	0.001292486	0.001124262	0.001007769	0.000909613	0.000830328	0.000762083
1550	"Fiji"	242	" 40"	0.009325126	0.008307952	0.007342368	0.006427029	0.005565998	0.004755639	0.003998354	0.003323826	0.003345215	0.003547726	0.003190335	0.002875781	0.002595546	0.002360788	0.002155387	0.001907964	0.001701671	0.001529205	0.001390214	0.0012712
1551	"Fiji"	242	" 45"	0.012374483	0.011227402	0.010121374	0.009055393	0.008035968	0.007055016	0.006117004	0.005264694	0.005290412	0.005639048	0.005186735	0.004733612	0.004322176	0.003969642	0.003659564	0.003284486	0.002925704	0.002627802	0.002386756	0.002181075
1552	"Fiji"	242	" 50"	0.017395593	0.015994817	0.01462864	0.013295739	0.012005777	0.010744349	0.009517427	0.008386982	0.008419242	0.009004412	0.008405805	0.007736904	0.007120361	0.006583611	0.006110054	0.005536022	0.004941925	0.00445133	0.00405045	0.003708924
1553	"Fiji"	242	" 55"	0.024848858	0.023083303	0.021344154	0.019629533	0.017953733	0.01629188	0.014651958	0.013123454	0.013164674	0.014111959	0.013305128	0.012328542	0.011420156	0.010618695	0.00990989	0.009049983	0.008117819	0.00735126	0.006716164	0.006175097
1554	"Fiji"	242	" 60"	0.036215397	0.033934062	0.031665455	0.029407103	0.027179957	0.024942894	0.0227067	0.020600727	0.020654078	0.02217776	0.021072051	0.019643033	0.018309788	0.017119731	0.016064957	0.014785433	0.013334219	0.012148557	0.011152737	0.010304994
1555	"Fiji"	242	" 65"	0.054505017	0.051491577	0.04845771	0.045400882	0.042351958	0.039244041	0.036090994	0.0330858	0.033156987	0.035645816	0.034078808	0.031894532	0.029859634	0.028025723	0.026396761	0.024425752	0.022081011	0.020188669	0.01858501	0.017225836
1556	"Fiji"	242	" 70"	0.081117228	0.077270771	0.073345763	0.069339259	0.065295267	0.061106047	0.056786943	0.052618889	0.05270834	0.056735754	0.054587311	0.051314851	0.048270141	0.045496381	0.043026495	0.040046022	0.036312244	0.033334277	0.030784871	0.02863293
1557	"Fiji"	242	" 75"	0.11881844	0.114127317	0.109269115	0.104239835	0.099100366	0.093681139	0.087994878	0.082437831	0.082539691	0.088962849	0.086152329	0.081393756	0.076970627	0.072891528	0.069248926	0.064865281	0.059054827	0.054470822	0.050499965	0.047159531
1558	"Fiji"	242	" 80"	0.170300185	0.164907773	0.159230932	0.153264179	0.147089933	0.140451524	0.133352256	0.12632977	0.126426327	0.136449523	0.13300802	0.126380521	0.120223593	0.114466426	0.109309072	0.103119596	0.094391333	0.087570179	0.081578382	0.076549331
1559	"Fiji"	242	" 85"	0.23728022	0.231524916	0.225352021	0.218755539	0.211846119	0.204256475	0.195973175	0.187694475	0.187750805	0.202913383	0.199066823	0.190366611	0.18228649	0.174614049	0.167720058	0.159471527	0.147020634	0.137364141	0.128740158	0.121507705
1560	"Fiji"	242	" 90"	0.31932407	0.313702523	0.307537408	0.300825875	0.293716657	0.285720134	0.276803274	0.267833219	0.267797028	0.289806613	0.286008005	0.275419424	0.265590722	0.256103581	0.247562316	0.237384026	0.220833842	0.208074264	0.19645788	0.186709094
1561	"Fiji"	242	" 95"	0.412892215	0.407919403	0.402307542	0.396063139	0.389385235	0.381671135	0.372874386	0.364027586	0.363839475	0.394214572	0.391051881	0.379273943	0.368357359	0.357643501	0.348004498	0.336588986	0.3164666	0.301032916	0.28667761	0.274609836
1562	"Fiji"	242	"100+"	0.683750697	0.68017589	0.675970044	0.671185912	0.665855537	0.659489902	0.652059942	0.644237582	0.644303985	0.657635646	0.654442918	0.642310391	0.631566371	0.621279997	0.61199007	0.601287133	0.582932781	0.569507664	0.557505444	0.547728588
2641	"Madagascar"	450	"  0"	0.197573259	0.179285463	0.164481758	0.150779362	0.136828383	0.124973185	0.112577146	0.111116925	0.095492899	0.083426757	0.073126158	0.063098746	0.054649598	0.047983248	0.04199669	0.036744062	0.032169175	0.028183598	0.024811481	0.022039732
2642	"Madagascar"	450	"  1"	0.042176311	0.038061004	0.034701084	0.031566428	0.028349512	0.025517214	0.02219167	0.021766651	0.017422126	0.014324114	0.01186305	0.009594693	0.007760842	0.006347374	0.005093962	0.004016153	0.003076296	0.00226247	0.001675807	0.001347578
2643	"Madagascar"	450	"  5"	0.016572792	0.014870752	0.013499852	0.012237403	0.010954763	0.009848965	0.008595757	0.00844473	0.006786852	0.005600112	0.004645282	0.003767189	0.003059625	0.002516988	0.002038261	0.001626131	0.001268563	0.000958851	0.000731815	0.000599868
