"index"	"country"	"country_code"	"age"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"
1282	"Ecuador"	218	"0-4"	-0.334	-2	-2.67	-2.336	-1.13	-1	-1	-1	-1	-1	-1	-1
1283	"Ecuador"	218	"5-9"	-0.396	-2.375	-3.17	-2.771	-1.35	-1.19	-1.19	-1.19	-1.19	-1.19	-1.19	-1.19
1284	"Ecuador"	218	"10-14"	-0.494	-2.965	-3.96	-3.462	-1.68	-1.48	-1.48	-1.48	-1.48	-1.48	-1.48	-1.48
1285	"Ecuador"	218	"15-19"	-3.065	-18.392	-24.52	-21.455	-10.42	-9.2	-9.2	-9.2	-9.2	-9.2	-9.2	-9.2
1286	"Ecuador"	218	"20-24"	-6.141	-36.843	-49.11	-42.984	-20.89	-18.41	-18.41	-18.41	-18.41	-18.41	-18.41	-18.41
1287	"Ecuador"	218	"25-29"	-5.029	-30.176	-40.23	-35.204	-17.1	-15.1	-15.1	-15.1	-15.1	-15.1	-15.1	-15.1
1288	"Ecuador"	218	"30-34"	-3.703	-22.219	-29.63	-25.923	-12.59	-11.11	-11.11	-11.11	-11.11	-11.11	-11.11	-11.11
1289	"Ecuador"	218	"35-39"	-2.711	-16.264	-21.68	-18.973	-9.22	-8.13	-8.13	-8.13	-8.13	-8.13	-8.13	-8.13
1290	"Ecuador"	218	"40-44"	-1.588	-9.53	-12.71	-11.118	-5.4	-4.77	-4.77	-4.77	-4.77	-4.77	-4.77	-4.77
1291	"Ecuador"	218	"45-49"	-0.851	-5.106	-6.81	-5.956	-2.89	-2.55	-2.55	-2.55	-2.55	-2.55	-2.55	-2.55
1292	"Ecuador"	218	"50-54"	-0.41	-2.459	-3.28	-2.87	-1.39	-1.23	-1.23	-1.23	-1.23	-1.23	-1.23	-1.23
1293	"Ecuador"	218	"55-59"	-0.174	-1.043	-1.39	-1.216	-0.59	-0.52	-0.52	-0.52	-0.52	-0.52	-0.52	-0.52
