"index"	"country"	"country_code"	"age"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"
1343	"Ecuador"	218	"  0"	0.167352774	0.154040844	0.140892823	0.125916342	0.111165814	0.096173164	0.080003706	0.064819976	0.051678446	0.038670446	0.02954426	0.024522927	0.020366599	0.016236797	0.013157384	0.011113184	0.010093746	0.0090761	0.008060258	0.007046235
1344	"Ecuador"	218	"  1"	0.021012742	0.018918416	0.016835779	0.014464246	0.012111815	0.009840784	0.007408504	0.005192089	0.003590894	0.002258572	0.001455146	0.001335758	0.00122657	0.001162016	0.001094543	0.001024738	0.000936677	0.000856177	0.000784471	0.000724554
1345	"Ecuador"	218	"  5"	0.007620966	0.006315902	0.005034726	0.004415487	0.003795361	0.003113239	0.002359722	0.001704656	0.001242559	0.000899953	0.000694844	0.000651919	0.00060704	0.000568484	0.000529288	0.000488109	0.000446249	0.000409412	0.000374557	0.000343403
1346	"Ecuador"	218	" 10"	0.003399177	0.00261845	0.001854795	0.001653284	0.001447064	0.001273437	0.001092611	0.000893888	0.000806205	0.000794058	0.000757141	0.000716702	0.000670741	0.000632689	0.000591531	0.000546563	0.000497993	0.00045625	0.000416601	0.000381691
1347	"Ecuador"	218	" 15"	0.003802609	0.00314508	0.002495208	0.002237493	0.001973749	0.001759204	0.001546942	0.001386646	0.00139595	0.001531156	0.001541037	0.001451316	0.001355275	0.001273733	0.001185778	0.001091235	0.000989205	0.000900261	0.000816279	0.000743154
1348	"Ecuador"	218	" 20"	0.004720084	0.004002292	0.003290765	0.002982996	0.002669004	0.00237585	0.002073002	0.001942512	0.002066208	0.002387204	0.002459185	0.002314996	0.002161913	0.002031046	0.001891475	0.001740942	0.001578686	0.001435908	0.001301894	0.001186208
1349	"Ecuador"	218	" 25"	0.005698621	0.004896222	0.004100584	0.003730786	0.003355463	0.00299039	0.00260952	0.002478357	0.002591485	0.00289232	0.002938506	0.002772267	0.002594669	0.002442639	0.002280953	0.002106389	0.001919474	0.001753733	0.001599617	0.001465261
1350	"Ecuador"	218	" 30"	0.006735277	0.005796178	0.004865232	0.004464218	0.00405882	0.003639325	0.003191458	0.003029625	0.003047199	0.003195018	0.003158737	0.002991224	0.002812573	0.002660033	0.002496616	0.002320549	0.00213229	0.001964989	0.001810039	0.001674385
1351	"Ecuador"	218	" 35"	0.007856242	0.0067398	0.005637334	0.005284824	0.004929351	0.0044978	0.004007166	0.003802514	0.003688151	0.003635376	0.003490018	0.0033217	0.003142412	0.002988636	0.002823822	0.002646809	0.002457529	0.002289215	0.00213269	0.001996832
1352	"Ecuador"	218	" 40"	0.009542719	0.008143464	0.006768408	0.006447962	0.00612238	0.005708996	0.005215094	0.004903407	0.004646034	0.00441871	0.004171924	0.003993576	0.003801411	0.003636824	0.003462089	0.003271391	0.003068572	0.002888076	0.002721379	0.002575123
