"index"	"country"	"country_code"	"age"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"
1282	"Ecuador"	218	"0-4"	-0.391	-2.345	-3.13	-2.736	-1.33	-1.17	-1.17	-1.17	-1.17	-1.17	-1.17	-1.17
1283	"Ecuador"	218	"5-9"	-0.435	-2.612	-3.48	-3.045	-1.48	-1.31	-1.31	-1.31	-1.31	-1.31	-1.31	-1.31
1284	"Ecuador"	218	"10-14"	-0.549	-3.295	-4.39	-3.844	-1.87	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65	-1.65
1285	"Ecuador"	218	"15-19"	-2.926	-17.557	-23.41	-20.484	-9.95	-8.78	-8.78	-8.78	-8.78	-8.78	-8.78	-8.78
1286	"Ecuador"	218	"20-24"	-5.946	-35.676	-47.57	-41.622	-20.21	-17.83	-17.83	-17.83	-17.83	-17.83	-17.83	-17.83
1287	"Ecuador"	218	"25-29"	-5.053	-30.319	-40.42	-35.37	-17.18	-15.15	-15.15	-15.15	-15.15	-15.15	-15.15	-15.15
1288	"Ecuador"	218	"30-34"	-3.544	-21.263	-28.35	-24.806	-12.05	-10.63	-10.63	-10.63	-10.63	-10.63	-10.63	-10.63
1289	"Ecuador"	218	"35-39"	-2.763	-16.577	-22.1	-19.34	-9.39	-8.29	-8.29	-8.29	-8.29	-8.29	-8.29	-8.29
1290	"Ecuador"	218	"40-44"	-1.609	-9.655	-12.87	-11.264	-5.47	-4.83	-4.83	-4.83	-4.83	-4.83	-4.83	-4.83
1291	"Ecuador"	218	"45-49"	-0.896	-5.375	-7.17	-6.271	-3.05	-2.69	-2.69	-2.69	-2.69	-2.69	-2.69	-2.69
1292	"Ecuador"	218	"50-54"	-0.509	-3.053	-4.07	-3.561	-1.73	-1.53	-1.53	-1.53	-1.53	-1.53	-1.53	-1.53
1293	"Ecuador"	218	"55-59"	-0.226	-1.354	-1.81	-1.581	-0.77	-0.68	-0.68	-0.68	-0.68	-0.68	-0.68	-0.68
1294	"Ecuador"	218	"60-64"	-0.153	-0.919	-1.23	-1.076	-0.52	-0.46	-0.46	-0.46	-0.46	-0.46	-0.46	-0.46
1295	"Ecuador"	218	"65-69"	0	0	0	0	0	0	0	0	0	0	0	0
1296	"Ecuador"	218	"70-74"	0	0	0	0	0	0	0	0	0	0	0	0
1297	"Ecuador"	218	"75-79"	0	0	0	0	0	0	0	0	0	0	0	0
1298	"Ecuador"	218	"80-84"	0	0	0	0	0	0	0	0	0	0	0	0
1299	"Ecuador"	218	"85-89"	0	0	0	0	0	0	0	0	0	0	0	0
1300	"Ecuador"	218	"90-94"	0	0	0	0	0	0	0	0	0	0	0	0
1301	"Ecuador"	218	"95-99"	0	0	0	0	0	0	0	0	0	0	0	0
1302	"Ecuador"	218	"100+"	0	0	0	0	0	0	0	0	0	0	0	0
1471	"Fiji"	242	"0-4"	-2.259	-1.491	-1.491	-1.264	-1.264	-1.264	-0.905	-0.905	-0.905	-0.905	-0.905	-0.905
1472	"Fiji"	242	"5-9"	-2.18	-1.449	-1.449	-1.228	-1.228	-1.228	-0.88	-0.88	-0.88	-0.88	-0.88	-0.88
1473	"Fiji"	242	"10-14"	-2.065	-0.924	-0.924	-0.783	-0.783	-0.783	-0.561	-0.561	-0.561	-0.561	-0.561	-0.561
1474	"Fiji"	242	"15-19"	-1.691	-2.121	-2.121	-1.798	-1.798	-1.798	-1.288	-1.288	-1.288	-1.288	-1.288	-1.288
1475	"Fiji"	242	"20-24"	-1.594	-4.032	-4.032	-3.418	-3.418	-3.418	-2.448	-2.448	-2.448	-2.448	-2.448	-2.448
1476	"Fiji"	242	"25-29"	-1.617	-4.074	-4.074	-3.453	-3.453	-3.453	-2.474	-2.474	-2.474	-2.474	-2.474	-2.474
1477	"Fiji"	242	"30-34"	-1.334	-2.625	-2.625	-2.225	-2.225	-2.225	-1.594	-1.594	-1.594	-1.594	-1.594	-1.594
1478	"Fiji"	242	"35-39"	-1.08	-1.617	-1.617	-1.371	-1.371	-1.371	-0.982	-0.982	-0.982	-0.982	-0.982	-0.982
1479	"Fiji"	242	"40-44"	-0.896	-1.176	-1.176	-0.997	-0.997	-0.997	-0.714	-0.714	-0.714	-0.714	-0.714	-0.714
1480	"Fiji"	242	"45-49"	-0.751	-0.777	-0.777	-0.659	-0.659	-0.659	-0.472	-0.472	-0.472	-0.472	-0.472	-0.472
1481	"Fiji"	242	"50-54"	-0.6	-0.441	-0.441	-0.374	-0.374	-0.374	-0.268	-0.268	-0.268	-0.268	-0.268	-0.268
1482	"Fiji"	242	"55-59"	-0.444	-0.273	-0.273	-0.231	-0.231	-0.231	-0.166	-0.166	-0.166	-0.166	-0.166	-0.166
1483	"Fiji"	242	"60-64"	-0.317	-0.105	-0.105	-0.089	-0.089	-0.089	-0.064	-0.064	-0.064	-0.064	-0.064	-0.064
1484	"Fiji"	242	"65-69"	-0.215	-0.021	-0.021	-0.018	-0.018	-0.018	-0.013	-0.013	-0.013	-0.013	-0.013	-0.013
1485	"Fiji"	242	"70-74"	-0.168	0.042	0.042	0.036	0.036	0.036	0.026	0.026	0.026	0.026	0.026	0.026
1486	"Fiji"	242	"75-79"	-0.106	0.105	0.105	0.089	0.089	0.089	0.064	0.064	0.064	0.064	0.064	0.064
1487	"Fiji"	242	"80-84"	-0.061	-0.021	-0.021	-0.018	-0.018	-0.018	-0.013	-0.013	-0.013	-0.013	-0.013	-0.013
1488	"Fiji"	242	"85-89"	-0.013	0	0	0	0	0	0	0	0	0	0	0
1489	"Fiji"	242	"90-94"	-0.002	0	0	0	0	0	0	0	0	0	0	0
1490	"Fiji"	242	"95-99"	0	0	0	0	0	0	0	0	0	0	0	0
1491	"Fiji"	242	"100+"	0	0	0	0	0	0	0	0	0	0	0	0
2521	"Madagascar"	450	"0-4"	-0.215	-0.185	-0.154	-0.154	-0.154	-0.154	-0.154	-0.154	-0.154	-0.154	-0.154	-0.154
2522	"Madagascar"	450	"5-9"	-0.094	-0.08	-0.067	-0.067	-0.067	-0.067	-0.067	-0.067	-0.067	-0.067	-0.067	-0.067
2523	"Madagascar"	450	"10-14"	-0.077	-0.066	-0.055	-0.055	-0.055	-0.055	-0.055	-0.055	-0.055	-0.055	-0.055	-0.055
2524	"Madagascar"	450	"15-19"	-0.405	-0.347	-0.289	-0.289	-0.289	-0.289	-0.289	-0.289	-0.289	-0.289	-0.289	-0.289
2525	"Madagascar"	450	"20-24"	-0.705	-0.604	-0.503	-0.503	-0.503	-0.503	-0.503	-0.503	-0.503	-0.503	-0.503	-0.503
