"index"	"country"	"country_code"	"age"	"1950"	"1955"	"1960"	"1965"	"1970"	"1975"	"1980"	"1985"	"1990"	"1995"	"2000"	"2005"	"2010"
1282	"Ecuador"	218	"0-4"	263.967	340.332	388.665	448.45	512.898	571.843	630.352	669.988	687.591	693.806	717.606	723.443	719.384
1283	"Ecuador"	218	"5-9"	212.429	245.695	319.476	367.93	427.776	493.336	554.402	616.226	659.73	680.125	687.244	713.782	719.864
1284	"Ecuador"	218	"10-14"	184.784	207.386	241.115	315.125	363.515	423.31	489.019	550.627	613.219	656.844	675.721	684.484	711.075
1285	"Ecuador"	218	"15-19"	160.514	181.802	204.792	238.959	312.629	361.003	420.757	486.515	548.309	609.25	645.986	669.539	678.412
1286	"Ecuador"	218	"20-24"	138.53	157.365	178.884	202.23	236.335	309.665	358.021	417.791	483.576	541.018	584.343	632.795	656.442
1287	"Ecuador"	218	"25-29"	117.795	135.173	154.2	176.02	199.389	233.473	306.429	354.892	414.666	475.02	510.726	568.541	616.969
1288	"Ecuador"	218	"30-34"	102.78	114.353	131.859	151.139	172.952	196.39	230.51	303.306	351.744	407.252	450.642	497.766	555.469
1289	"Ecuador"	218	"35-39"	95.991	99.245	111.025	128.714	147.941	169.747	193.34	227.698	300.033	345.332	388.402	440.151	487.168
1290	"Ecuador"	218	"40-44"	81.571	92.134	95.865	107.919	125.451	144.569	166.442	190.322	224.533	294.233	330.953	379.795	431.318
1291	"Ecuador"	218	"45-49"	72.699	77.665	88.408	92.696	104.6	121.871	140.965	163.035	186.839	219.678	283.966	323.999	372.515
1292	"Ecuador"	218	"50-54"	63.841	68.451	73.82	84.813	89.117	100.761	117.887	137.09	159.003	182.06	212.063	277.615	317.279
1293	"Ecuador"	218	"55-59"	57.538	59.119	64.075	69.837	80.426	84.687	96.221	113.299	132.26	153.708	175.451	206.349	270.734
1294	"Ecuador"	218	"60-64"	50.564	51.652	53.771	59.032	64.551	74.555	79.032	90.59	107.305	125.942	146.787	169.125	199.332
1295	"Ecuador"	218	"65-69"	41.652	42.643	44.434	47.154	52.035	57.16	66.714	71.701	83.097	99.422	117.727	138.635	160.205
1296	"Ecuador"	218	"70-74"	30.028	31.525	33.355	35.855	38.369	42.654	47.652	56.863	62.405	73.519	89.278	107.001	126.601
1297	"Ecuador"	218	"75-79"	17.63	19.212	21.255	23.614	25.722	27.849	31.79	36.773	45.576	51.261	61.519	75.938	91.737
1298	"Ecuador"	218	"80-84"	8.172	8.763	10.345	12.318	13.968	15.489	17.459	21.017	25.957	33.342	38.28	46.893	58.645
1299	"Ecuador"	218	"85-89"	2.616	2.835	3.411	4.473	5.49	6.392	7.516	9.154	12.267	15.924	20.824	24.452	30.585
1300	"Ecuador"	218	"90-94"	0.557	0.592	0.711	0.985	1.348	1.716	2.166	2.834	4.068	5.819	7.593	10.111	12.259
1301	"Ecuador"	218	"95-99"	0.077	0.081	0.095	0.123	0.18	0.258	0.364	0.528	0.87	1.351	1.947	2.56	3.435
1302	"Ecuador"	218	"100+"	0.007	0.007	0.008	0.01	0.013	0.02	0.032	0.053	0.102	0.174	0.274	0.401	0.537
1471	"Fiji"	242	"0-4"	27	32.008	37.861	40.283	38.628	39.825	45.096	51.055	48.439	48.455	47.886	43.305	43.371
1472	"Fiji"	242	"5-9"	22	25.867	30.153	36.38	37.542	36.193	38.473	45.376	46.459	44.694	46.942	39.476	39.256
1473	"Fiji"	242	"10-14"	18	22.075	25.395	30.262	35.808	37.729	38.48	39.107	41.207	44.597	43.276	38.951	38.176
1474	"Fiji"	242	"15-19"	15	17.995	21.07	25.003	29.5	35.741	37.315	36.294	35.628	40.133	43.12	37.419	39.738
1475	"Fiji"	242	"20-24"	12	14.45	16.957	20.636	24.293	28.974	32.749	37.043	32.777	33.871	37.665	38.132	37.135
1476	"Fiji"	242	"25-29"	10	11.513	13.455	16.51	20.016	23.196	26.017	33.205	32.996	30.928	30.133	33.631	37.236
1477	"Fiji"	242	"30-34"	9	10.025	10.556	13.424	16.022	18.894	21.472	24.902	28.78	30.157	27.027	27.728	32.323
1478	"Fiji"	242	"35-39"	7	8.509	9.052	10.645	13.005	15.365	17.831	19.892	21.355	26.556	27.149	27.21	26.998
1479	"Fiji"	242	"40-44"	5	6.532	8.02	9.03	10.245	12.605	14.196	16.477	17.636	20.494	24.437	29.064	26.054
1480	"Fiji"	242	"45-49"	4	5.013	6.039	7.871	8.654	9.787	11.676	13.383	14.913	17.066	18.876	25.467	26.172
1481	"Fiji"	242	"50-54"	3	3.491	4.033	5.867	7.459	8.136	9.246	10.888	11.844	14.048	15.698	18.47	22.54
1482	"Fiji"	242	"55-59"	2	2.018	2.998	4.108	5.444	6.879	7.427	8.009	9.162	10.508	12.816	14.842	16.809
1483	"Fiji"	242	"60-64"	2	1.534	1.999	2.995	3.719	4.848	5.726	5.829	6.358	7.748	9.358	11.611	13.275
1484	"Fiji"	242	"65-69"	1	1.407	1.027	1.914	2.59	3.057	3.557	4.405	4.419	5.146	6.624	7.962	10.001
1485	"Fiji"	242	"70-74"	0.599	0.775	1.06	1.143	1.551	2.035	2.2	2.701	3.237	3.347	4.099	5.048	6.25
1486	"Fiji"	242	"75-79"	0.199	0.697	0.622	0.784	0.834	1.166	1.435	1.684	1.902	2.381	2.407	2.801	3.706
1487	"Fiji"	242	"80-84"	0.139	0.38	0.392	0.32	0.425	0.49	0.616	0.732	1.01	0.955	1.428	1.288	1.59
1488	"Fiji"	242	"85-89"	0.048	0.045	0.074	0.08	0.079	0.116	0.14	0.16	0.279	0.304	0.414	0.58	0.502
1489	"Fiji"	242	"90-94"	0.01	0.002	0.002	0.005	0.006	0.008	0.015	0.023	0.032	0.066	0.084	0.132	0.199
1490	"Fiji"	242	"95-99"	0.001	0.001	0	0	0	0	0	0.001	0.002	0.004	0.011	0.018	0.031
1491	"Fiji"	242	"100+"	0	0	0	0	0	0	0	0	0	0	0	0.001	0.003
2521	"Madagascar"	450	"0-4"	319.253	406.59	463.741	526.068	601.677	704.215	799.45	833.594	1019.243	1198.564	1377.101	1499.421	1637.976
2522	"Madagascar"	450	"5-9"	248.607	276.033	356.753	411.764	472.108	545.839	644.955	740.968	773.727	960.478	1149.414	1339.375	1472.855
2523	"Madagascar"	450	"10-14"	223.092	236.87	264.185	342.704	396.826	456.493	529.334	627.965	721.787	757.349	945.658	1137.237	1329.884
2524	"Madagascar"	450	"15-19"	201.903	215.273	229.283	256.381	333.11	386.346	445.104	518.189	614.979	709.241	747.296	936.548	1129.288
2525	"Madagascar"	450	"20-24"	167.425	193.929	207.465	221.576	247.779	322.121	373.819	433.729	505.208	601.833	697.334	737.774	927.433
2526	"Madagascar"	450	"25-29"	137.198	159.763	185.763	199.355	212.783	237.716	309.33	362.46	420.82	492.291	589.637	686.501	728.8
2527	"Madagascar"	450	"30-34"	105.482	129.882	151.934	177.322	190.336	203.07	226.871	298.593	350.131	408.526	480.907	579.244	677.14
2528	"Madagascar"	450	"35-39"	103.023	98.996	122.553	143.996	168.315	180.867	193.127	217.958	287.139	338.596	397.895	471.404	570.474
2529	"Madagascar"	450	"40-44"	117.461	95.969	92.758	115.381	135.89	159.228	171.424	184.631	208.511	276.336	328.326	388.496	462.634
2530	"Madagascar"	450	"45-49"	99.034	108.808	89.432	86.865	108.362	128.007	150.412	163.145	175.813	199.671	266.638	319.037	379.512
2531	"Madagascar"	450	"50-54"	79.09	90.725	100.322	82.894	80.796	101.173	119.918	141.907	154.007	166.913	191.055	257.066	309.361
2532	"Madagascar"	450	"55-59"	63.69	70.604	81.649	90.888	75.493	73.951	93.046	111.133	131.604	143.808	157.35	181.778	246.346
2533	"Madagascar"	450	"60-64"	48.29	54.247	60.826	70.999	79.677	66.705	65.774	83.551	99.884	119.385	132.153	146.424	170.817
2534	"Madagascar"	450	"65-69"	33.99	38.046	43.443	49.363	58.307	66.232	55.991	55.854	71.038	86.016	104.67	117.91	132.441
2535	"Madagascar"	450	"70-74"	20.79	23.58	27.043	31.492	36.421	43.805	50.517	43.363	43.327	56.108	69.686	86.935	99.856
2536	"Madagascar"	450	"75-79"	10.45	11.928	14.016	16.537	19.754	23.45	28.826	33.938	29.194	29.893	40.081	51.507	65.995
2537	"Madagascar"	450	"80-84"	3.53	4.545	5.452	6.664	8.144	10.085	12.336	15.58	18.396	16.337	17.503	24.535	32.641
2538	"Madagascar"	450	"85-89"	1.041	1.042	1.434	1.813	2.321	2.976	3.836	4.855	6.154	7.561	7.102	8.035	11.744
2539	"Madagascar"	450	"90-94"	0.193	0.192	0.208	0.305	0.408	0.554	0.746	1	1.271	1.686	2.207	2.202	2.606
2540	"Madagascar"	450	"95-99"	0.021	0.021	0.023	0.026	0.041	0.059	0.084	0.118	0.158	0.211	0.298	0.414	0.431
2541	"Madagascar"	450	"100+"	0.001	0.001	0.002	0.002	0.002	0.004	0.005	0.008	0.011	0.015	0.022	0.032	0.046
2563	"Malaysia"	458	"0-4"	511.2	628.821	726.149	840.287	837.863	884.231	909.535	1103.701	1187.412	1290.275	1323.627	1432.422	1374.403
2564	"Malaysia"	458	"5-9"	373	506.961	627.564	730.001	855.289	850.45	882.016	970.946	1112.039	1195.882	1272.863	1379.026	1430.847
