"index"	"country"	"country_code"	"age"	"1950"	"1955"	"1960"	"1965"	"1970"	"1975"	"1980"	"1985"	"1990"	"1995"	"2000"	"2005"	"2010"
1282	"Ecuador"	218	"0-4"	270.985	348.604	398.838	460.997	528.06	589.62	650.876	692.791	712.31	720.057	746.859	753.238	750.535
1283	"Ecuador"	218	"5-9"	217.301	251.696	326.579	376.818	438.837	506.431	569.903	634.454	680.39	703.008	712.358	741.84	748.591
1284	"Ecuador"	218	"10-14"	188.722	211.905	246.685	321.661	371.799	433.768	501.498	565.486	630.717	676.748	698.017	708.868	738.392
1285	"Ecuador"	218	"15-19"	162.932	185.495	209.012	244.156	318.711	368.799	430.658	498.349	562.421	625.634	664.113	689.923	700.935
1286	"Ecuador"	218	"20-24"	139.965	159.519	182.227	206.019	241.002	315.046	365.019	426.786	494.223	552.978	596.575	646.464	672.419
1287	"Ecuador"	218	"25-29"	118.897	136.369	156.011	178.889	202.589	237.399	310.85	360.774	422.091	482.926	517.929	575.173	624.88
1288	"Ecuador"	218	"30-34"	102.451	115.261	132.773	152.551	175.263	198.876	233.508	306.389	355.853	411.859	453.978	499.685	556.533
1289	"Ecuador"	218	"35-39"	94.752	98.792	111.714	129.341	148.89	171.384	194.893	229.373	301.232	346.77	389.045	438.909	484.278
1290	"Ecuador"	218	"40-44"	79.259	90.744	95.206	108.322	125.625	144.858	167.094	190.483	224.467	292.941	329.291	376.618	425.913
1291	"Ecuador"	218	"45-49"	69.105	75.122	86.694	91.669	104.462	121.341	140.228	162.195	185.231	217.436	279.786	318.85	365.429
1292	"Ecuador"	218	"50-54"	61	64.5	70.86	82.623	87.467	99.789	116.224	134.803	156.285	178.361	207.696	270.395	308.651
1293	"Ecuador"	218	"55-59"	53.87	55.594	59.626	66.419	77.5	82.101	93.989	110.023	128.091	148.929	169.849	199.499	260.183
1294	"Ecuador"	218	"60-64"	45.156	47.143	49.597	54.197	60.451	70.626	75.188	86.704	102.203	119.751	139.892	160.836	189.189
1295	"Ecuador"	218	"65-69"	35.055	36.78	39.467	42.639	46.737	52.285	61.556	66.256	77.382	92.238	109.205	128.724	148.275
1296	"Ecuador"	218	"70-74"	23.568	25.423	27.76	30.956	33.65	37.104	42.004	50.281	55.369	65.85	79.868	95.645	113.066
1297	"Ecuador"	218	"75-79"	12.873	14.382	16.406	18.901	21.321	23.434	26.305	30.515	37.997	43.013	52.414	64.628	77.757
1298	"Ecuador"	218	"80-84"	5.575	6.128	7.378	9.039	10.624	12.217	13.779	16.009	19.825	25.716	30.077	37.505	46.588
1299	"Ecuador"	218	"85-89"	1.73	1.89	2.282	3.003	3.801	4.61	5.491	6.482	8.348	10.957	14.811	17.86	22.529
1300	"Ecuador"	218	"90-94"	0.364	0.379	0.462	0.618	0.854	1.133	1.437	1.81	2.489	3.466	4.769	6.694	8.213
1301	"Ecuador"	218	"95-99"	0.05	0.048	0.056	0.075	0.108	0.159	0.222	0.299	0.465	0.705	1.027	1.472	2.119
1302	"Ecuador"	218	"100+"	0.005	0.004	0.004	0.005	0.008	0.012	0.019	0.028	0.048	0.083	0.132	0.201	0.299
1471	"Fiji"	242	"0-4"	28	32.991	39.536	41.826	40.171	41.554	47.289	53.783	51.238	51.307	50.711	46.156	46.181
1472	"Fiji"	242	"5-9"	22	26.137	31.229	37.592	38.707	37.425	40.165	47.77	49.107	47.465	49.79	42.41	42.182
1473	"Fiji"	242	"10-14"	18	21.289	25.853	31.291	37.037	38.909	39.988	40.931	43.317	47.15	45.983	41.56	40.723
1474	"Fiji"	242	"15-19"	15	17.502	20.286	25.505	30.434	36.549	38.229	37.134	37.169	42.002	45.657	39.62	42.013
1475	"Fiji"	242	"20-24"	13	14.936	16.457	20.257	24.718	28.731	32.606	36.809	33.602	35.334	39.541	40.214	39.403
1476	"Fiji"	242	"25-29"	11	12.481	13.943	16.33	19.627	22.652	25.585	32.977	33.131	32.017	31.651	34.964	39.229
1477	"Fiji"	242	"30-34"	10	10.048	12.021	13.668	15.829	18.273	21.355	24.895	29.136	30.694	28.094	28.998	34.05
1478	"Fiji"	242	"35-39"	8	9.027	10.066	11.68	13.202	15.125	17.505	19.958	21.89	27.201	27.548	28.207	28.611
1479	"Fiji"	242	"40-44"	6	7.038	9.024	9.662	11.236	12.858	14.503	16.538	17.988	21.111	24.893	29.337	27.011
1480	"Fiji"	242	"45-49"	4	5.034	7.041	8.569	9.209	10.818	12.104	13.625	14.943	17.225	19.247	26.478	26.978
1481	"Fiji"	242	"50-54"	4	3.536	5.03	6.666	8.042	8.641	10.026	11.127	11.892	13.72	15.519	19.329	23.254
1482	"Fiji"	242	"55-59"	3	3.443	3.541	4.808	6.117	7.36	7.871	8.821	9.195	10.275	12.111	14.878	17.142
1483	"Fiji"	242	"60-64"	3	2.012	3.341	3.094	4.231	5.371	6.155	6.262	6.863	7.455	8.725	11.29	13.171
1484	"Fiji"	242	"65-69"	2	1.942	1.957	2.593	2.577	3.374	3.806	4.59	4.528	5.144	5.934	7.595	9.256
1485	"Fiji"	242	"70-74"	1.699	1.486	1.671	1.489	1.969	1.926	2.331	2.854	3.114	3.08	3.694	4.503	5.453
1486	"Fiji"	242	"75-79"	1.199	1.082	0.979	1.035	0.994	1.317	1.293	1.697	1.76	2.027	1.87	2.456	2.936
1487	"Fiji"	242	"80-84"	0.801	0.524	0.527	0.452	0.521	0.554	0.646	0.584	0.859	0.726	0.987	0.982	1.222
1488	"Fiji"	242	"85-89"	0.242	0.107	0.094	0.102	0.106	0.142	0.154	0.158	0.193	0.218	0.256	0.363	0.33
1489	"Fiji"	242	"90-94"	0.049	0.009	0.005	0.006	0.008	0.011	0.018	0.023	0.028	0.039	0.051	0.067	0.099
1490	"Fiji"	242	"95-99"	0.006	0.002	0	0	0	0	0.001	0.001	0.002	0.003	0.006	0.009	0.013
1491	"Fiji"	242	"100+"	0.001	0.001	0	0	0	0	0	0	0	0	0	0.001	0.001
2521	"Madagascar"	450	"0-4"	311.623	409.105	465.618	528.038	604.467	705.17	801.588	836.75	1022.629	1202.693	1384.069	1516.538	1667.302
2522	"Madagascar"	450	"5-9"	236.821	271.815	361.167	415.435	475.909	549.094	646.784	743.898	777.245	962.521	1151.009	1343.417	1486.667
2523	"Madagascar"	450	"10-14"	221.138	226.707	261.112	348.023	401.466	460.927	533.244	630.412	725.278	760.76	947.011	1137.756	1332.445
2524	"Madagascar"	450	"15-19"	211.482	214.072	219.975	253.886	338.847	391.216	449.724	522.135	617.432	712.231	749.757	936.486	1127.927
2525	"Madagascar"	450	"20-24"	192.91	202.554	205.62	211.827	244.526	326.405	377.085	436.39	506.855	601.397	696.914	736.787	923.267
2526	"Madagascar"	450	"25-29"	174.795	182.969	192.794	196.328	202.168	233.069	311.527	363.332	420.699	490.721	585.616	682.299	724.153
2527	"Madagascar"	450	"30-34"	148.382	165.354	173.731	183.667	187.034	192.263	221.654	299.663	349.695	406.716	477.265	572.799	670.136
2528	"Madagascar"	450	"35-39"	135.2	139.59	156.202	164.723	174.338	177.435	182.379	212.46	287.478	337.084	394.601	465.911	561.728
2529	"Madagascar"	450	"40-44"	133.94	125.827	130.554	146.734	155.111	164.327	167.464	173.682	202.45	275.479	325.433	383.681	455.426
2530	"Madagascar"	450	"45-49"	101.92	122.832	116.076	121.073	136.591	144.728	153.768	157.997	163.937	192.279	263.935	314.394	372.987
2531	"Madagascar"	450	"50-54"	72.93	91.683	111.253	105.775	110.867	125.528	133.525	142.978	146.979	153.53	181.826	251.982	302.334
2532	"Madagascar"	450	"55-59"	57.09	63.71	80.76	98.725	94.469	99.51	113.28	121.465	130.138	134.831	142.452	170.633	238.553
2533	"Madagascar"	450	"60-64"	42.57	47.586	53.678	68.694	84.717	81.637	86.614	99.513	106.777	115.534	121.434	130.156	157.656
2534	"Madagascar"	450	"65-69"	29.15	32.912	37.315	42.621	55.19	68.726	66.857	71.711	82.465	89.609	98.775	105.775	115.036
2535	"Madagascar"	450	"70-74"	17.49	19.825	22.855	26.39	30.669	40.279	50.877	50.216	53.928	63.133	70.426	79.705	87.127
2536	"Madagascar"	450	"75-79"	8.69	9.701	11.348	13.446	15.934	18.91	25.36	32.701	32.331	35.618	43.287	50.131	58.413
2537	"Madagascar"	450	"80-84"	2.953	3.566	4.167	5.07	6.234	7.61	9.296	12.832	16.588	16.984	19.695	25.193	30.356
2538	"Madagascar"	450	"85-89"	0.779	0.781	1.005	1.24	1.587	2.033	2.581	3.279	4.542	6.155	6.749	8.377	11.291
2539	"Madagascar"	450	"90-94"	0.118	0.117	0.127	0.175	0.23	0.309	0.416	0.556	0.709	1.041	1.536	1.831	2.422
2540	"Madagascar"	450	"95-99"	0.009	0.009	0.01	0.012	0.017	0.024	0.034	0.048	0.065	0.088	0.142	0.23	0.294
2541	"Madagascar"	450	"100+"	0	0	0	0.001	0.001	0.001	0.002	0.002	0.003	0.005	0.007	0.011	0.019
2563	"Malaysia"	458	"0-4"	508.5	639.626	755.575	880.161	877.141	926.743	957.552	1165.91	1258.018	1361.924	1397.412	1520.129	1453.748
2564	"Malaysia"	458	"5-9"	379.1	486.764	632.079	755.683	879.164	885.732	921.603	1023.699	1172.063	1263.682	1339.624	1460.937	1517.61
2565	"Malaysia"	458	"10-14"	368.7	368.903	475.83	620.765	718.204	841.969	878.924	909.328	1034.219	1169.849	1264.562	1338.791	1459.83
2566	"Malaysia"	458	"15-19"	287	361.822	362.757	469.21	593.097	675.303	835.544	866.714	927.477	1035.916	1175.823	1264.998	1336.187
2567	"Malaysia"	458	"20-24"	262.2	279.361	353.875	355.839	458.178	559.727	667.842	822.238	839.054	935.714	1053.123	1181.816	1261.674
2568	"Malaysia"	458	"25-29"	221.3	253.928	271.677	345.871	353.144	450.57	552.511	655.952	827.933	856.671	973.284	1064.004	1180.043
2569	"Malaysia"	458	"30-34"	208.6	213.441	246.301	264.535	340.095	360.966	443.982	541.455	711.846	849.421	905.132	980.684	1061.364
2570	"Malaysia"	458	"35-39"	185.7	200.001	205.752	238.856	256.685	344.378	354.591	433.488	604.403	730.459	890.18	905.222	974.499
2571	"Malaysia"	458	"40-44"	176.7	176.214	191.239	197.978	231.114	254.898	336.639	344.138	468.978	615.775	756.41	883.066	895.52
2572	"Malaysia"	458	"45-49"	131.7	165.444	166.329	182.072	189.258	225.41	247.31	324.334	355.083	473.406	627.602	745.447	869.741
2573	"Malaysia"	458	"50-54"	107.1	120.58	153.344	155.583	170.597	179.988	215.734	234.401	317.581	352.255	473.239	611.62	727.669
2574	"Malaysia"	458	"55-59"	73.5	95.395	108.447	139.701	140.454	155.353	168.375	198.884	226.566	305.088	341.01	452.617	586.536
2575	"Malaysia"	458	"60-64"	72	62.575	82.282	94.57	120.469	121.077	140.126	148.414	185.173	207.931	280.403	315.407	420.623
2576	"Malaysia"	458	"65-69"	59	54.867	50.447	67.456	77.874	97.41	103.173	115.513	124.501	158.883	177.616	244.886	278.833
2577	"Malaysia"	458	"70-74"	51.5	44.363	41.778	37.581	54.537	58.93	76.906	77.986	92.149	99.475	126.874	145.674	203.562
2578	"Malaysia"	458	"75-79"	32.4	34.181	29.212	28.782	28.328	38.94	40.917	53.689	57.613	65.997	71.783	93.806	107.66
2579	"Malaysia"	458	"80-84"	13.15	15.048	16.46	14.908	16.141	17.402	20.192	22.893	30.278	32.257	37.895	41.922	53.811
