"index"	"country"	"country_code"	"age"	"1950"	"1955"	"1960"	"1965"	"1970"	"1975"	"1980"	"1985"	"1990"	"1995"	"2000"	"2005"	"2010"
2524	"Madagascar"	450	"15-19"	201.903	214.89	228.814	256.425	333.087	386.17	444.762	517.82	614.6	708.861	745.805	930.864	1111.933
2525	"Madagascar"	450	"20-24"	167.425	193.927	207.093	221.121	247.819	322.096	373.646	433.394	504.846	601.458	695.7	733.696	917.825
2526	"Madagascar"	450	"25-29"	137.198	159.761	185.759	198.996	212.343	237.753	309.305	362.289	420.492	491.934	588.055	682.114	721.172
2527	"Madagascar"	450	"30-34"	105.482	129.881	151.931	177.316	189.991	202.645	226.905	298.566	349.963	408.203	479.402	574.951	668.905
2528	"Madagascar"	450	"35-39"	103.023	98.995	122.551	143.991	168.307	180.535	192.717	217.989	287.111	338.43	396.471	467.344	562.425
2529	"Madagascar"	450	"40-44"	117.461	95.968	92.755	115.378	135.884	159.218	171.105	184.237	208.539	276.307	327.182	384.79	455.259
2530	"Madagascar"	450	"45-49"	99.034	108.806	89.43	86.861	108.358	128	150.401	162.839	175.436	199.696	265.804	315.974	373.012
2531	"Madagascar"	450	"50-54"	79.09	90.723	100.318	82.891	80.791	101.168	119.91	141.895	153.716	166.553	190.467	254.571	303.842
2532	"Madagascar"	450	"55-59"	63.69	70.602	81.646	90.883	75.489	73.945	93.04	111.124	131.592	143.534	156.392	179.74	241.435
2533	"Madagascar"	450	"60-64"	48.29	54.246	60.822	70.994	79.671	66.7	65.767	83.545	99.874	119.373	131.193	143.909	166.516
2534	"Madagascar"	450	"65-69"	33.99	38.044	43.44	49.358	58.3	66.224	55.985	55.847	71.031	86.006	103.878	115.233	127.598
2535	"Madagascar"	450	"70-74"	20.79	23.579	27.04	31.488	36.416	43.798	50.509	43.357	43.32	56.101	68.94	84.375	94.86
2536	"Madagascar"	450	"75-79"	10.45	11.952	14.044	16.567	19.79	23.491	28.875	33.995	29.244	29.943	39.569	49.512	61.72
2537	"Madagascar"	450	"80-84"	3.53	4.411	5.246	6.386	7.784	9.607	11.741	14.781	17.563	16.036	17.159	23.22	29.763
2538	"Madagascar"	450	"85-89"	1.041	1.015	1.34	1.672	2.127	2.71	3.477	4.383	5.572	7.082	6.799	7.49	10.439
