"index"	"country"	"country_code"	"age"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
1541	"Fiji"	242	"  0"	0.076509221	0.068537084	0.06139731	0.055005311	0.04927681	0.044631288	0.038213703	0.032711162	0.028013132	0.023981139	0.02053235	0.019755766	0.01873211	0.017761677	0.016885446	0.015804745	0.014561715	0.013546578	0.012676363	0.011909582	0.011245842	0.010654216	0.010114117	0.009635583	0.009208292	0.008791482	0.008415597	0.008060259	0.007725429	0.007421211
1542	"Fiji"	242	"  1"	0.027449719	0.021138796	0.016271138	0.012509384	0.009619183	0.007250296	0.005095352	0.003578917	0.002513688	0.001763765	0.001235692	0.001191392	0.001133055	0.001076187	0.001021072	0.000952855	0.000883134	0.000811756	0.000764031	0.000717997	0.000673379	0.000640281	0.000613338	0.000581906	0.000551043	0.000530836	0.000506119	0.000481434	0.000467636	0.000443766
1543	"Fiji"	242	"  5"	0.00437954	0.003666527	0.003071397	0.002580004	0.002168883	0.001866859	0.001512319	0.001229003	0.000998756	0.000815363	0.000667441	0.000638069	0.000604035	0.000568554	0.000539957	0.00050237	0.000460325	0.000429617	0.000399172	0.000372346	0.00035359	0.000332746	0.000311862	0.000297745	0.000285002	0.000268832	0.000257271	0.000247862	0.000233615	0.000225565
1544	"Fiji"	242	" 10"	0.001997791	0.00183901	0.001673912	0.001513727	0.001363265	0.001238362	0.001100706	0.000972381	0.000853448	0.000745758	0.000649005	0.000621904	0.000584085	0.000548892	0.000517216	0.000479692	0.000436504	0.000401475	0.000371501	0.000346314	0.000324325	0.000303811	0.000286318	0.00027015	0.000256522	0.000243043	0.000231897	0.000220408	0.00020967	0.000198873
1545	"Fiji"	242	" 15"	0.004641344	0.004018838	0.003479374	0.003013723	0.002616984	0.002240046	0.001987753	0.001767125	0.001572105	0.001396271	0.001242811	0.001187177	0.001111695	0.001043102	0.000980017	0.000905432	0.000820659	0.000750605	0.000692982	0.000642193	0.000599442	0.000561706	0.000527802	0.000496296	0.00047023	0.000444977	0.000421954	0.000400122	0.00037982	0.000361018
1546	"Fiji"	242	" 20"	0.006669068	0.005759719	0.004974802	0.004295842	0.003719116	0.003164422	0.002843439	0.002557754	0.00230142	0.00206737	0.001860286	0.001777118	0.00166403	0.001559062	0.001465753	0.001351672	0.001224782	0.001121409	0.001034131	0.000957299	0.000892869	0.000836843	0.000786831	0.000739924	0.000699704	0.0006611	0.000627565	0.000595029	0.000564611	0.000537297
1547	"Fiji"	242	" 25"	0.007126833	0.006223401	0.005436056	0.004747739	0.004157702	0.00357387	0.003231577	0.002924899	0.002647059	0.002392893	0.002165387	0.0020696	0.001937414	0.00181615	0.001707881	0.001575669	0.001426624	0.001306851	0.001206913	0.001117525	0.001042253	0.000975672	0.000917517	0.000862954	0.000817598	0.00077202	0.000732489	0.00069397	0.000659621	0.000626981
1548	"Fiji"	242	" 30"	0.006902664	0.00619418	0.005558795	0.004988085	0.004488429	0.003954287	0.003646425	0.003366014	0.003106602	0.002865046	0.002644169	0.002526251	0.002365848	0.002217502	0.002084885	0.001924493	0.001742377	0.001594482	0.001472024	0.001364584	0.00127224	0.001191861	0.001118838	0.001052583	0.000997853	0.00094249	0.000894033	0.000846441	0.000805217	0.000765543
1549	"Fiji"	242	" 35"	0.007083143	0.006552643	0.006063287	0.005608721	0.005203288	0.004743459	0.004516309	0.004303661	0.004102143	0.003906003	0.003722809	0.0035554	0.00333083	0.003122249	0.002935731	0.002708162	0.002452701	0.002244216	0.002071955	0.001919362	0.001790427	0.001676853	0.001575097	0.001482098	0.001404609	0.001326298	0.001259016	0.00119324	0.001132745	0.001077781
1550	"Fiji"	242	" 40"	0.007800328	0.007426208	0.007073104	0.00673506	0.006430471	0.006091333	0.006001207	0.005919628	0.005841379	0.005755288	0.005678786	0.005424259	0.005080107	0.00476346	0.00447761	0.004130094	0.003741273	0.003423869	0.003162119	0.002928755	0.002731124	0.002557963	0.002402854	0.002261508	0.002142251	0.002023779	0.001918613	0.001819569	0.001726765	0.001643508
1551	"Fiji"	242	" 45"	0.009714771	0.009422956	0.009140145	0.008865794	0.00862218	0.008413088	0.008501179	0.008601014	0.00870196	0.008792954	0.008897507	0.008499071	0.007959954	0.007463412	0.007016197	0.00647315	0.005863672	0.005366609	0.004955576	0.00459086	0.004280354	0.004010268	0.003765789	0.003544307	0.003358509	0.003173088	0.003007747	0.002852475	0.002708958	0.002577674
1552	"Fiji"	242	" 50"	0.013449205	0.013132685	0.01282311	0.012520765	0.012257458	0.012179006	0.012479324	0.012803387	0.013134209	0.013459324	0.013807699	0.013186641	0.012346452	0.011570985	0.010875509	0.010028376	0.009077577	0.008304268	0.007663012	0.007097202	0.006614874	0.006194093	0.005815485	0.005469722	0.005180794	0.004894289	0.004638323	0.00439798	0.004174406	0.003970465
1553	"Fiji"	242	" 55"	0.020821819	0.020232434	0.019660897	0.019105916	0.018613642	0.018552798	0.019020713	0.019522608	0.020038156	0.020541624	0.021082537	0.020146414	0.018876394	0.017703365	0.01665066	0.015366774	0.013926704	0.012752863	0.011778491	0.010917698	0.010182653	0.009541335	0.008965203	0.008438441	0.007995444	0.00755748	0.007167945	0.006799462	0.006456863	0.006144752
1554	"Fiji"	242	" 60"	0.035195339	0.033782007	0.032427793	0.031128747	0.029956923	0.029589897	0.029977152	0.03040576	0.030841654	0.031243235	0.031689769	0.030343694	0.028508241	0.026811713	0.02528348	0.02341468	0.021311212	0.019589022	0.01815465	0.016881218	0.015792691	0.014839973	0.013980864	0.013194488	0.012532043	0.011871883	0.011286251	0.010730332	0.010212639	0.009739758
1555	"Fiji"	242	" 65"	0.062907117	0.059203034	0.055711322	0.052677463	0.049955195	0.048642869	0.04819133	0.047871297	0.047561529	0.047191198	0.046899774	0.045014194	0.04243204	0.040039988	0.037882451	0.035232245	0.032238549	0.029774998	0.027717082	0.025884245	0.024311483	0.022931675	0.021677178	0.020527	0.019559975	0.01858992	0.017725322	0.01690407	0.016137894	0.015434293
1556	"Fiji"	242	" 70"	0.113100199	0.105788194	0.09869725	0.091783805	0.085566369	0.081643855	0.079023661	0.07668657	0.074433868	0.072164865	0.070058792	0.067388373	0.063708887	0.060294948	0.057207738	0.053403669	0.049094871	0.045532039	0.042550916	0.039885566	0.037592909	0.035578841	0.033734864	0.032040277	0.030619153	0.029184374	0.027902564	0.026684577	0.025542726	0.024491135
1557	"Fiji"	242	" 75"	0.193168698	0.181851446	0.170353774	0.156363911	0.143637667	0.134443141	0.127987569	0.121835457	0.115970796	0.110291735	0.10490817	0.10116406	0.095945089	0.091080564	0.086661635	0.081191483	0.074956667	0.069771008	0.065412098	0.06149541	0.058115289	0.055133102	0.052405105	0.049881348	0.04776648	0.045622946	0.043706309	0.041880935	0.040162894	0.038583602
1558	"Fiji"	242	" 80"	0.308105898	0.292579161	0.276025684	0.252015899	0.229790674	0.212346041	0.199748708	0.187392668	0.175664512	0.164491103	0.153834838	0.148795967	0.14167225	0.134996289	0.12889659	0.121300429	0.11257304	0.105258956	0.099073535	0.093480241	0.088631529	0.084330439	0.080396115	0.076727105	0.073654667	0.070523971	0.067721271	0.065044121	0.062511867	0.060188204
1559	"Fiji"	242	" 85"	0.452134383	0.433711965	0.41307281	0.378297453	0.345234693	0.317449951	0.296807894	0.276077362	0.256294953	0.237483986	0.219403256	0.212975641	0.20372919	0.195011621	0.1869896	0.17692457	0.165246128	0.155365298	0.146944147	0.139268608	0.132575585	0.1265984	0.121125566	0.115971965	0.111659867	0.107233724	0.103265107	0.099459802	0.095837595	0.092519329
1560	"Fiji"	242	" 90"	0.606035669	0.587530946	0.565716452	0.523607433	0.482021624	0.444579412	0.415739726	0.385973545	0.357102624	0.329345254	0.302277771	0.29460454	0.283325223	0.272626581	0.262699348	0.250133492	0.235383128	0.222760625	0.211901101	0.201908688	0.193131363	0.185229039	0.177978619	0.171070169	0.165298229	0.159313929	0.153938998	0.148760629	0.143791281	0.139247036
1561	"Fiji"	242	" 95"	0.743763719	0.728142203	0.70880816	0.666532465	0.62273314	0.58013259	0.545709676	0.508920169	0.472210724	0.436059026	0.399980537	0.391509046	0.378710843	0.366508428	0.355080424	0.340470774	0.32309616	0.308035078	0.294936862	0.282753102	0.271958841	0.262149622	0.253122619	0.244398504	0.237132545	0.229495861	0.22262751	0.215972667	0.209520177	0.203633771
1562	"Fiji"	242	"100+"	0.848290711	0.836988651	0.822441349	0.787104008	0.748780701	0.708291783	0.67365621	0.635147706	0.595266147	0.554643997	0.512918385	0.504685513	0.491797085	0.479507797	0.467911134	0.452968444	0.435010584	0.419286485	0.405500103	0.39256749	0.381039574	0.370487435	0.360775134	0.351242414	0.343395358	0.334996249	0.32747075	0.320150734	0.31296678	0.306466888
2641	"Madagascar"	450	"  0"	0.213214177	0.195836257	0.180586343	0.165553909	0.153573624	0.14043423	0.126923492	0.125754091	0.108923433	0.086457166	0.065507906	0.050054794	0.046398699	0.040172105	0.035029092	0.031157568	0.028323287	0.025894965	0.023720817	0.021864023	0.020433931	0.019104158	0.017865876	0.016846302	0.016002218	0.015225034	0.014495012	0.013810965	0.013218819	0.01270194
2642	"Madagascar"	450	"  1"	0.038007697	0.034714456	0.031798859	0.028902797	0.026617125	0.023775228	0.020533405	0.02026661	0.016483476	0.011844813	0.007911821	0.005136084	0.004484802	0.003400386	0.002589477	0.002033254	0.001693076	0.00146462	0.001262531	0.001108582	0.001018782	0.000935508	0.000859461	0.000803706	0.000766566	0.0007326	0.000701268	0.000671797	0.000647258	0.00062686
2643	"Madagascar"	450	"  5"	0.015182622	0.013854002	0.012689573	0.011540134	0.010627852	0.009567464	0.008418818	0.008321629	0.006975531	0.005179243	0.003609556	0.002493564	0.002231245	0.001791745	0.001447895	0.001192501	0.001024945	0.00090506	0.000795537	0.000710038	0.000657932	0.00060881	0.000562216	0.000527823	0.000504031	0.000481761	0.000460532	0.000440513	0.000424142	0.000410164
2644	"Madagascar"	450	" 10"	0.005781529	0.005374926	0.005006864	0.004634057	0.004337022	0.004001257	0.00363792	0.003605168	0.003132799	0.002475755	0.001852331	0.001388423	0.001277886	0.001089792	0.000937033	0.000823384	0.000741752	0.000673543	0.000612288	0.000561516	0.000525012	0.000490968	0.000459824	0.000434291	0.000413969	0.00039522	0.000377607	0.000361068	0.00034653	0.000333692
2645	"Madagascar"	450	" 15"	0.007261915	0.00676954	0.006330305	0.005890782	0.005546986	0.00517037	0.004772081	0.004735444	0.004200874	0.003451189	0.002734731	0.002198414	0.002069386	0.001842944	0.001639835	0.001477928	0.001356985	0.001251021	0.001155897	0.001074241	0.001010921	0.000951877	0.000897994	0.000851815	0.000812763	0.00077674	0.000742901	0.000711128	0.00068214	0.000655871
2646	"Madagascar"	450	" 20"	0.009750606	0.00910758	0.008534069	0.007960143	0.007510748	0.007024161	0.006512314	0.006464425	0.005764594	0.004778542	0.003833192	0.003125401	0.002954577	0.002651568	0.002370748	0.002142343	0.001970189	0.001817805	0.001681042	0.001563671	0.001472684	0.001387858	0.00131048	0.001243937	0.001187428	0.001135306	0.001086345	0.001040381	0.000998195	0.000959812
2647	"Madagascar"	450	" 25"	0.01092738	0.010197811	0.009547363	0.008896754	0.008387613	0.007832006	0.007245107	0.007190772	0.006397391	0.005283641	0.004218804	0.003423365	0.003231506	0.002891488	0.002578475	0.002324935	0.002134414	0.001966339	0.001815509	0.001686629	0.001587594	0.001495269	0.001411041	0.001338908	0.001277982	0.001221789	0.001169006	0.001119452	0.001074104	0.001032921
2648	"Madagascar"	450	" 30"	0.011522737	0.01074695	0.010055367	0.009363319	0.008822402	0.00823129	0.007609502	0.007552649	0.006721649	0.005553299	0.004432254	0.003593057	0.003390802	0.003034069	0.002709552	0.002448615	0.002253482	0.002082275	0.001928636	0.001795661	0.001690795	0.001593035	0.001503862	0.001426875	0.001361139	0.001300512	0.001243566	0.001190104	0.001141205	0.001096815
2649	"Madagascar"	450	" 35"	0.013142572	0.012245011	0.011445254	0.01064537	0.010020068	0.009339669	0.008630705	0.008566503	0.007626823	0.006301032	0.005024866	0.004066882	0.003836452	0.003433772	0.00307622	0.002793099	0.002580634	0.002393476	0.002225534	0.00207764	0.001957034	0.001844611	0.001742084	0.001652604	0.001575112	0.001503644	0.001436521	0.001373507	0.001315976	0.001263816
2650	"Madagascar"	450	" 40"	0.015710268	0.014628259	0.013665015	0.012702828	0.011940967	0.011116509	0.010272672	0.01019776	0.009099855	0.007541979	0.00603435	0.004898806	0.004626483	0.004154597	0.003748356	0.003433226	0.003189776	0.002968387	0.002769762	0.002592016	0.002442706	0.002303548	0.002176682	0.002064605	0.001966031	0.001875133	0.001789768	0.001709637	0.001636651	0.001570588
2651	"Madagascar"	450	" 45"	0.019022689	0.01775287	0.016623474	0.015496665	0.014589264	0.013629755	0.012678613	0.012594366	0.011355438	0.009577115	0.007831691	0.006506003	0.006188459	0.005641044	0.005179926	0.004827589	0.004539316	0.004261635	0.00401257	0.003781585	0.003575289	0.003383068	0.00320812	0.003048698	0.002903283	0.002769218	0.002643339	0.002525197	0.002416178	0.002316631
2652	"Madagascar"	450	" 50"	0.023679868	0.022187469	0.020861373	0.019539218	0.018451637	0.017335329	0.01626992	0.016174651	0.014767926	0.012723106	0.010684668	0.009123675	0.008749843	0.008108565	0.007557253	0.007130022	0.006766587	0.006403875	0.006078676	0.005765475	0.00546881	0.005192507	0.004941551	0.00470609	0.004484355	0.004280006	0.0040882	0.003908246	0.00373935	0.003583416
2653	"Madagascar"	450	" 55"	0.031031474	0.029156651	0.027493424	0.025836479	0.02443975	0.023035577	0.021736927	0.021620422	0.019896676	0.017374329	0.014839395	0.012889416	0.012421649	0.011616344	0.010908485	0.010351857	0.009870816	0.009384166	0.008948102	0.008517097	0.008093325	0.007698889	0.00734121	0.006999227	0.006670785	0.006368259	0.006084446	0.005818297	0.005565303	0.005329846
2654	"Madagascar"	450	" 60"	0.042747827	0.040315412	0.038162952	0.036023708	0.034226928	0.03243701	0.03079786	0.030650389	0.028465754	0.025252124	0.022000256	0.019488081	0.018882493	0.017825727	0.016884401	0.016137972	0.01547882	0.014799955	0.014192199	0.013572642	0.012937668	0.012347226	0.011813316	0.011290457	0.010776492	0.010303477	0.009860067	0.009444557	0.009042292	0.0086637
2655	"Madagascar"	450	" 65"	0.062384129	0.05897455	0.055955651	0.052977822	0.050522333	0.048087211	0.045854879	0.045653243	0.04267787	0.038297966	0.033843089	0.030404944	0.029573442	0.02812047	0.026802774	0.025744461	0.02479765	0.023803706	0.022916176	0.021991393	0.021014792	0.020108109	0.019290204	0.018478493	0.017669667	0.01692312	0.01622386	0.015570608	0.014934849	0.014335037
2656	"Madagascar"	450	" 70"	0.095308062	0.090220813	0.085743459	0.081364456	0.077775745	0.07425462	0.071060616	0.070773192	0.066512526	0.060245831	0.053868492	0.048963126	0.047774965	0.045697081	0.043790354	0.042246966	0.040846379	0.039348558	0.038015711	0.036591989	0.035045137	0.033613742	0.032327781	0.031032435	0.029722842	0.02851488	0.027387056	0.026339474	0.025313723	0.024344913
2657	"Madagascar"	450	" 75"	0.14460803	0.137314014	0.130974127	0.124771588	0.119712791	0.114801966	0.110407828	0.110016021	0.104101237	0.095351477	0.08645035	0.079607158	0.077955355	0.07504024	0.072332672	0.070133088	0.068078018	0.065850566	0.06387331	0.061688481	0.059237319	0.056978227	0.054962554	0.052882246	0.050737379	0.048776111	0.046953984	0.045268219	0.043592872	0.042000701
2658	"Madagascar"	450	" 80"	0.212719093	0.202845983	0.194355865	0.18603567	0.179276381	0.172785432	0.167064619	0.166559988	0.158781509	0.147203027	0.135439417	0.12642488	0.124262672	0.120407247	0.116776468	0.11381704	0.110953538	0.107801109	0.105011791	0.101806652	0.098080759	0.094658694	0.091628136	0.088413235	0.08502704	0.081955167	0.079113647	0.076494155	0.073847518	0.071313907
2659	"Madagascar"	450	" 85"	0.300822023	0.288388051	0.277792722	0.267379453	0.258947391	0.250940997	0.244005147	0.243401244	0.233868419	0.219592401	0.205135562	0.194148418	0.191542119	0.18684028	0.182341929	0.178666256	0.174954619	0.170794087	0.167129266	0.162722635	0.157394761	0.152514956	0.148230666	0.143540293	0.138483579	0.133927623	0.12972825	0.125868572	0.121896465	0.118061068
2660	"Madagascar"	450	" 90"	0.406100054	0.39171703	0.379556448	0.367559618	0.357874043	0.348789727	0.3410783	0.34041763	0.329700821	0.313572211	0.297348825	0.285226597	0.282405241	0.27724693	0.272221079	0.268111572	0.263734967	0.258725744	0.254342458	0.248786046	0.241771532	0.235361629	0.229796102	0.223476082	0.216488586	0.210229191	0.20447559	0.19920042	0.193660097	0.1882566
2661	"Madagascar"	450	" 95"	0.520983643	0.505867036	0.493175049	0.480599754	0.470478327	0.461116597	0.453363222	0.452712533	0.441818504	0.425377671	0.409032065	0.397196384	0.394529675	0.389574605	0.384639003	0.380613298	0.37601834	0.370629447	0.365960942	0.359662277	0.351325123	0.343723496	0.337227653	0.329523469	0.320773656	0.312974364	0.305821685	0.299278732	0.292253585	0.285324855
2662	"Madagascar"	450	"100+"	0.637747936	0.623713777	0.612033597	0.600430397	0.59114338	0.582710612	0.575954286	0.575403361	0.565824977	0.551419402	0.537407351	0.527870448	0.525849892	0.522011746	0.518073549	0.514892317	0.510879364	0.506032341	0.501905577	0.495889146	0.48749589	0.479880818	0.473558641	0.46563439	0.456385091	0.448201592	0.440732994	0.433935958	0.4264709	0.419032555
2685	"Malaysia"	458	"  0"	0.108848603	0.089042714	0.071606317	0.056629511	0.044781113	0.035415216	0.028002656	0.022150624	0.017514147	0.013854015	0.010960155	0.008659386	0.007776148	0.007198222	0.006701883	0.006266683	0.005872261	0.005518531	0.005195319	0.004902572	0.004630155	0.004378038	0.004136115	0.003914446	0.003713008	0.003511645	0.003330482	0.003159439	0.002998507	0.002847678
2686	"Malaysia"	458	"  1"	0.009898025	0.008090569	0.006433955	0.00497203	0.003838351	0.002964981	0.002288731	0.001763904	0.001365879	0.001050342	0.000808899	0.000625598	0.000564148	0.000521658	0.000485572	0.000449807	0.000425436	0.000396066	0.000372271	0.000359326	0.000336082	0.000318392	0.000300715	0.000283054	0.000265911	0.0002538	0.00024195	0.000230358	0.000218523	0.000201675
