"index"	"country"	"country_code"	"age"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
1343	"Ecuador"	218	"  0"	0.167352774	0.154040844	0.140892823	0.125916342	0.111165814	0.096184323	0.080003738	0.064819994	0.051678456	0.038670453	0.029544263	0.02452293	0.022514246	0.020118056	0.018009306	0.016257381	0.014674613	0.01327002	0.012021981	0.010898954	0.009890073	0.0089846	0.008161761	0.007411073	0.006732259	0.006114949	0.005558946	0.005043879	0.004569636	0.004146193
1344	"Ecuador"	218	"  1"	0.02093444	0.018855254	0.016786259	0.014428173	0.012087117	0.009817595	0.007404112	0.00519146	0.003596874	0.002264239	0.001455406	0.001335984	0.001177947	0.001053329	0.00094114	0.000847117	0.00076199	0.000691263	0.00062339	0.000568447	0.000515218	0.000468731	0.000423887	0.000390257	0.000352674	0.000320962	0.000284529	0.000259222	0.000239988	0.00021777
1345	"Ecuador"	218	"  5"	0.007824451	0.006523478	0.005244086	0.004587802	0.003932688	0.003232917	0.002450182	0.001764076	0.001280498	0.000920761	0.000706962	0.000660897	0.000584928	0.000529819	0.000483513	0.000443871	0.000406476	0.000369966	0.000340602	0.000313572	0.000287048	0.000265567	0.0002448	0.000222144	0.000204984	0.000188184	0.000176351	0.000161642	0.000146079	0.000134093
1346	"Ecuador"	218	" 10"	0.003346492	0.002556421	0.00178179	0.001601429	0.001413483	0.00124722	0.001071381	0.000888441	0.000811535	0.000809723	0.00078002	0.000740183	0.000688684	0.000642355	0.000601795	0.000565609	0.000531382	0.000500676	0.000472334	0.000446213	0.000420852	0.000399212	0.000377438	0.000358616	0.000338843	0.000320887	0.000303945	0.000287856	0.000272618	0.00025821
1347	"Ecuador"	218	" 15"	0.003658998	0.003000292	0.002351283	0.002112345	0.001870096	0.001671139	0.001476218	0.001329904	0.001356303	0.001508221	0.001530147	0.001440432	0.00135874	0.0012817	0.001211227	0.001149715	0.001090751	0.001037488	0.000989484	0.000943158	0.000898691	0.000859335	0.000819864	0.000784459	0.000748705	0.000716335	0.000683434	0.000652741	0.000624248	0.000596403
1348	"Ecuador"	218	" 20"	0.004710619	0.004001766	0.003301312	0.002987555	0.002669228	0.002376046	0.002076327	0.001944075	0.002056218	0.002358083	0.002422813	0.002280275	0.002150414	0.002031812	0.00192234	0.001826996	0.001734341	0.001652362	0.001576272	0.001505135	0.001435469	0.001373463	0.001311058	0.001253976	0.001199465	0.001147006	0.001096756	0.001048341	0.001001945	0.000958948
1349	"Ecuador"	218	" 25"	0.005702326	0.004895685	0.004097445	0.003727051	0.00335086	0.002984615	0.002603955	0.00247229	0.002584718	0.002888797	0.002936289	0.002769776	0.002611417	0.002465555	0.002332209	0.002216082	0.002103187	0.002001483	0.001908261	0.001822407	0.00173728	0.001661391	0.00158579	0.001515836	0.001450704	0.001385866	0.001324453	0.001266258	0.001210106	0.001156983
1350	"Ecuador"	218	" 30"	0.006714711	0.005779673	0.004852217	0.004459365	0.004062198	0.003644184	0.003196057	0.003039047	0.003056453	0.003204749	0.003167776	0.002998738	0.00282827	0.002670043	0.002525546	0.002399636	0.002277738	0.002167688	0.002066002	0.001973892	0.001880775	0.001799653	0.001716944	0.001642767	0.001570156	0.001502161	0.001435662	0.001372403	0.001310998	0.001252634
1351	"Ecuador"	218	" 35"	0.007878626	0.006757393	0.005650288	0.005292093	0.004930487	0.004504125	0.004020774	0.003810351	0.003695585	0.003649379	0.003506951	0.003336959	0.003146537	0.002971018	0.002810191	0.002669354	0.002533242	0.002412627	0.00229845	0.002196546	0.002092925	0.002002867	0.001910349	0.001828077	0.001747135	0.001670459	0.001597856	0.001526944	0.001459268	0.001394658
1352	"Ecuador"	218	" 40"	0.009548555	0.008152627	0.006780937	0.006452644	0.006121408	0.005697803	0.005192561	0.004887653	0.004637853	0.004419545	0.004176829	0.003998426	0.0037694	0.003559144	0.003366724	0.003199004	0.003036023	0.002890272	0.002754811	0.002631686	0.002508158	0.002398736	0.002289835	0.002190212	0.00209426	0.002000836	0.001913886	0.001829846	0.001748889	0.001670814
1353	"Ecuador"	218	" 45"	0.01205091	0.010232262	0.0084502	0.008168076	0.007886367	0.007407555	0.006791025	0.006389671	0.005968788	0.005508016	0.005129369	0.004940876	0.004658375	0.004400378	0.004161522	0.003953809	0.003753198	0.003572846	0.003405735	0.003252641	0.003099907	0.002964841	0.002829787	0.002707994	0.002588296	0.002473961	0.002365769	0.002262712	0.002162382	0.002066181
1354	"Ecuador"	218	" 50"	0.015796323	0.013353648	0.010970994	0.010796609	0.010625788	0.010029698	0.009181496	0.008613131	0.007884889	0.007000417	0.006395972	0.006204833	0.00584914	0.005521882	0.005220956	0.004957304	0.004703915	0.004475963	0.004265504	0.004073495	0.003880184	0.00371125	0.003539814	0.003385531	0.003236143	0.003092632	0.002955171	0.00282493	0.002700049	0.002579969
1355	"Ecuador"	218	" 55"	0.021902769	0.018617889	0.015426344	0.015258606	0.015095749	0.014288803	0.013089074	0.012083907	0.01088791	0.009489857	0.008602624	0.008398111	0.007920782	0.007482624	0.007078728	0.006726783	0.006387173	0.006081565	0.005798632	0.005540164	0.005281457	0.005053234	0.0048228	0.00461474	0.004413065	0.004220626	0.004035204	0.003858982	0.003689067	0.003527474
1356	"Ecuador"	218	" 60"	0.032720085	0.02816362	0.023747118	0.023344464	0.022954031	0.021736129	0.019959773	0.018092259	0.016226925	0.014217912	0.012949942	0.012672615	0.011991232	0.011365555	0.010784798	0.010280585	0.009790193	0.009347208	0.008935899	0.008559815	0.008181797	0.007848115	0.007510069	0.007204468	0.006906054	0.006621781	0.006347923	0.006086851	0.00583281	0.005590465
1357	"Ecuador"	218	" 65"	0.051139699	0.044528488	0.038148475	0.037279841	0.036441028	0.034529666	0.03182697	0.02844155	0.025542785	0.022634247	0.020755355	0.020311676	0.01930262	0.01837183	0.017500572	0.016746033	0.016007271	0.015335421	0.014712049	0.014142525	0.013562417	0.013054058	0.012532558	0.012062945	0.01160162	0.011158947	0.010732329	0.010322404	0.009925812	0.009543008
1358	"Ecuador"	218	" 70"	0.078964816	0.06960682	0.060596583	0.058931205	0.057328183	0.054436668	0.050454612	0.044539606	0.040118938	0.036026912	0.033299969	0.03257985	0.031080279	0.029698258	0.028390969	0.027262954	0.026153718	0.025137007	0.024193549	0.023334005	0.022447423	0.021673212	0.020872369	0.020153843	0.019441137	0.018757211	0.018095518	0.017457475	0.016839057	0.016240924
1359	"Ecuador"	218	" 75"	0.120282998	0.107499846	0.095127873	0.092093906	0.089181396	0.084913418	0.079172911	0.069069165	0.062389045	0.056799458	0.052931206	0.051758578	0.049532355	0.047480746	0.045532851	0.043846801	0.042182284	0.040653433	0.039231453	0.037932745	0.036587252	0.035412091	0.034189539	0.033095607	0.032006977	0.030958046	0.029942182	0.028959448	0.02800173	0.027079274
1360	"Ecuador"	218	" 80"	0.178483726	0.161920045	0.145808703	0.140694992	0.13578772	0.129739968	0.121796358	0.10537202	0.095581231	0.088256842	0.08295969	0.081106169	0.077893946	0.074933917	0.072109187	0.069656927	0.067223933	0.064983629	0.062894216	0.060981129	0.058987596	0.057247138	0.055423392	0.053797408	0.052172648	0.050599879	0.049074867	0.047594157	0.046142208	0.044750227
1361	"Ecuador"	218	" 85"	0.255904962	0.235851841	0.216276295	0.208352645	0.200729092	0.192620694	0.182222057	0.157086875	0.143337697	0.134270646	0.127362437	0.124552949	0.120102782	0.116003394	0.112063341	0.108635016	0.105211681	0.102049908	0.099091464	0.096376353	0.093524541	0.091038596	0.088408882	0.086076349	0.083733014	0.081452584	0.079238203	0.077079029	0.074946817	0.072913304
1362	"Ecuador"	218	" 90"	0.351854055	0.329495867	0.307662412	0.296478708	0.285655122	0.27551967	0.262836001	0.227069635	0.208822083	0.198414541	0.189972264	0.185947644	0.18011462	0.174747673	0.169536741	0.165000031	0.160431524	0.15619714	0.152220089	0.148564318	0.144681295	0.141309214	0.137695758	0.134515623	0.131297489	0.128146684	0.125081954	0.122079109	0.11908978	0.116255604
1363	"Ecuador"	218	" 95"	0.461319794	0.438662093	0.416647598	0.402396266	0.388474884	0.37681816	0.362601968	0.31583025	0.293246828	0.282407124	0.27290453	0.267536801	0.260413855	0.25388054	0.247443969	0.241857359	0.236168162	0.230874712	0.225882442	0.221294706	0.216342266	0.212076058	0.207420678	0.203374973	0.199239527	0.195163133	0.191190982	0.187278019	0.183347193	0.179646029
1364	"Ecuador"	218	"100+"	0.579773117	0.559774682	0.540695309	0.524931695	0.509365457	0.497646121	0.483808793	0.430560951	0.406206324	0.397007802	0.388036461	0.38186062	0.374437254	0.367705351	0.360927302	0.355133089	0.349144605	0.343564874	0.338292794	0.333487438	0.32816294	0.323677928	0.318639157	0.314383973	0.309969377	0.305593113	0.301332693	0.297119419	0.292849238	0.28887961
