"index"	"country"	"country_code"	"age"	"1950"	"1955"	"1960"	"1965"	"1970"	"1975"	"1980"	"1985"	"1990"	"1995"	"2000"	"2005"	"2010"
2524	"Madagascar"	450	"15-19"	211.482	213.746	219.534	253.919	338.818	391.022	449.36	521.765	617.051	711.847	748.352	930.92	1110.355
2525	"Madagascar"	450	"20-24"	192.91	202.552	205.305	211.401	244.557	326.375	376.895	436.034	506.492	601.023	695.206	732.576	913.337
2526	"Madagascar"	450	"25-29"	174.795	182.966	192.789	196.025	201.759	233.097	311.496	363.146	420.353	490.366	583.866	677.394	715.72
2527	"Madagascar"	450	"30-34"	148.382	165.352	173.726	183.66	186.743	191.87	221.679	299.631	349.513	406.378	475.739	568.248	661.163
2528	"Madagascar"	450	"35-39"	135.2	139.588	156.199	164.716	174.329	177.155	182.001	212.482	287.445	336.905	393.203	461.883	553.432
2529	"Madagascar"	450	"40-44"	133.94	125.825	130.55	146.729	155.103	164.317	167.196	173.319	202.469	275.445	324.231	379.882	447.855
2530	"Madagascar"	450	"45-49"	101.92	122.829	116.072	121.067	136.584	144.719	153.757	157.742	163.592	192.295	262.928	310.882	365.786
2531	"Madagascar"	450	"50-54"	72.93	91.68	111.248	105.769	110.859	125.519	133.515	142.966	146.74	153.205	181.078	248.857	295.669
2532	"Madagascar"	450	"55-59"	57.09	63.708	80.755	98.718	94.462	99.501	113.27	121.454	130.125	134.61	141.44	168.172	232.469
2533	"Madagascar"	450	"60-64"	42.57	47.585	53.674	68.687	84.709	81.629	86.605	99.502	106.766	115.521	120.465	127.528	152.748
2534	"Madagascar"	450	"65-69"	29.15	32.91	37.312	42.617	55.182	68.718	66.849	71.701	82.454	89.598	97.952	103.135	110.224
2535	"Madagascar"	450	"70-74"	17.49	19.824	22.852	26.386	30.664	40.272	50.869	50.208	53.919	63.123	69.6	77.134	82.314
2536	"Madagascar"	450	"75-79"	8.69	9.721	11.37	13.47	15.962	18.942	25.402	32.755	32.385	35.675	42.642	47.937	54.15
2537	"Madagascar"	450	"80-84"	2.953	3.481	4.033	4.875	5.964	7.27	8.867	12.093	15.661	16.359	19.241	23.622	27.262
2538	"Madagascar"	450	"85-89"	0.779	0.764	0.949	1.153	1.458	1.854	2.348	2.942	4.034	5.586	6.289	7.664	9.743
2539	"Madagascar"	450	"90-94"	0.118	0.116	0.121	0.16	0.205	0.273	0.363	0.478	0.603	0.894	1.346	1.583	2.013
2540	"Madagascar"	450	"95-99"	0.009	0.009	0.01	0.011	0.015	0.02	0.029	0.041	0.053	0.073	0.118	0.187	0.23
2541	"Madagascar"	450	"100+"	0	0	0	0	0.001	0.001	0.001	0.002	0.002	0.003	0.005	0.008	0.013
2563	"Malaysia"	458	"0-4"	508.5	635.4	769.8	876	907	957.1	957.75	1233.114	1277.102	1357.556	1364.218	1404.275	1400.199
2564	"Malaysia"	458	"5-9"	379.1	480.3	607.4	743.5	829.6	870	944.73	942.287	1185.164	1271.691	1354.483	1363.386	1403.788
2565	"Malaysia"	458	"10-14"	368.7	372.3	473.2	600.1	706.4	787	865.013	933.31	1009.177	1185.137	1276.166	1353.87	1363.01
2566	"Malaysia"	458	"15-19"	287	361.9	366.5	467.1	582.4	664.3	781.745	854.408	905.606	1015.474	1195.829	1281.091	1358.143
2567	"Malaysia"	458	"20-24"	262.2	279.3	353.7	359.6	464	559.7	657.47	770.222	830.546	920.034	1043.537	1207.555	1291.166
2568	"Malaysia"	458	"25-29"	221.3	253.6	271.6	345.5	357	471.2	552.818	646.351	808.245	853.825	969.941	1056.039	1217.853
2569	"Malaysia"	458	"30-34"	208.6	213.2	245.8	264.6	337.3	365.2	464.915	542.795	722.424	832.141	904.86	976.419	1061.594
2570	"Malaysia"	458	"35-39"	185.7	199.6	205.4	238.4	257	339.6	359.393	455.162	596.352	740.041	869.406	904.536	976.107
2571	"Malaysia"	458	"40-44"	176.7	176	190.7	197.7	231.7	251.9	332.491	349.488	475.646	605.845	760.429	863.185	899.221
