"index"	"country"	"country_code"	"age"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"	"2010-2015"	"2015-2020"	"2020-2025"	"2025-2030"	"2030-2035"	"2035-2040"	"2040-2045"	"2045-2050"	"2050-2055"	"2055-2060"	"2060-2065"	"2065-2070"	"2070-2075"	"2075-2080"	"2080-2085"	"2085-2090"	"2090-2095"	"2095-2100"
1282	"Ecuador"	218	"0-4"	-0.391	-1.954	-0.939	-0.938	-0.939	-0.939	-0.939	-0.939	-0.939	-0.939	-0.939	-0.939	-0.47	-0.235	-0.118	-0.059	-0.03	0	0	0	0	0
1283	"Ecuador"	218	"5-9"	-0.435	-2.177	-1.044	-1.044	-1.045	-1.045	-1.045	-1.045	-1.045	-1.045	-1.045	-1.045	-0.523	-0.262	-0.131	-0.066	-0.033	0	0	0	0	0
1284	"Ecuador"	218	"10-14"	-0.549	-2.746	-1.317	-1.318	-1.32	-1.32	-1.32	-1.32	-1.32	-1.32	-1.32	-1.32	-0.66	-0.33	-0.165	-0.083	-0.042	0	0	0	0	0
1285	"Ecuador"	218	"15-19"	-2.926	-14.631	-7.023	-7.023	-7.024	-7.024	-7.024	-7.024	-7.024	-7.024	-7.024	-7.024	-3.512	-1.756	-0.878	-0.439	-0.22	0	0	0	0	0
1286	"Ecuador"	218	"20-24"	-5.946	-29.73	-14.271	-14.27	-14.266	-14.266	-14.266	-14.266	-14.266	-14.266	-14.266	-14.266	-7.133	-3.567	-1.784	-0.892	-0.446	0	0	0	0	0
1287	"Ecuador"	218	"25-29"	-5.053	-25.266	-12.126	-12.127	-12.127	-12.127	-12.127	-12.127	-12.127	-12.127	-12.127	-12.127	-6.064	-3.032	-1.516	-0.758	-0.379	0	0	0	0	0
1288	"Ecuador"	218	"30-34"	-3.544	-17.719	-8.505	-8.505	-8.506	-8.506	-8.506	-8.506	-8.506	-8.506	-8.506	-8.506	-4.253	-2.127	-1.064	-0.532	-0.266	0	0	0	0	0
1289	"Ecuador"	218	"35-39"	-2.763	-13.814	-6.63	-6.631	-6.628	-6.628	-6.628	-6.628	-6.628	-6.628	-6.628	-6.628	-3.314	-1.657	-0.829	-0.415	-0.208	0	0	0	0	0
1290	"Ecuador"	218	"40-44"	-1.609	-8.046	-3.861	-3.862	-3.861	-3.861	-3.861	-3.861	-3.861	-3.861	-3.861	-3.861	-1.931	-0.966	-0.483	-0.242	-0.121	0	0	0	0	0
1291	"Ecuador"	218	"45-49"	-0.896	-4.479	-2.151	-2.15	-2.153	-2.153	-2.153	-2.153	-2.153	-2.153	-2.153	-2.153	-1.077	-0.539	-0.27	-0.135	-0.068	0	0	0	0	0
1292	"Ecuador"	218	"50-54"	-0.509	-2.544	-1.221	-1.221	-1.221	-1.221	-1.221	-1.221	-1.221	-1.221	-1.221	-1.221	-0.611	-0.306	-0.153	-0.077	-0.039	0	0	0	0	0
1293	"Ecuador"	218	"55-59"	-0.226	-1.128	-0.543	-0.542	-0.544	-0.544	-0.544	-0.544	-0.544	-0.544	-0.544	-0.544	-0.272	-0.136	-0.068	-0.034	-0.017	0	0	0	0	0
1294	"Ecuador"	218	"60-64"	-0.153	-0.766	-0.369	-0.369	-0.367	-0.367	-0.367	-0.367	-0.367	-0.367	-0.367	-0.367	-0.184	-0.092	-0.046	-0.023	-0.012	0	0	0	0	0
1295	"Ecuador"	218	"65-69"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1296	"Ecuador"	218	"70-74"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1297	"Ecuador"	218	"75-79"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1298	"Ecuador"	218	"80-84"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1299	"Ecuador"	218	"85-89"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1300	"Ecuador"	218	"90-94"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1301	"Ecuador"	218	"95-99"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
